date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,BAL,MIN,"W,3-2",99,1.0,1,0,0,0,0,0,0,0.00,4,14,11,1,3,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.97,0.138,0.08%,0.50
2018-04-01,BAL,MIN,"L,0-7",2,1.1,0,0,0,0,0,0,0,0.00,4,15,10,0,1,2,2,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.03,0.003,0.00%,0.73
2018-04-02,BAL,HOU,"L,1-6",0,1.0,2,1,1,0,1,0,1,2.70,6,18,12,2,1,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,1,0,.05,-0.006,0.00%,-0.49
2018-04-06,BAL,NYY,"W,7-3",3,1.2,1,0,0,1,0,0,0,1.80,7,26,13,4,0,6,0,0,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,2.34,0.208,0.12%,1.18
2018-04-07,BAL,NYY,"L,3-8",0,0.2,0,0,0,0,0,0,0,1.59,1,4,3,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,1.09,0.069,0.04%,1.20
2018-04-08,BAL,NYY,"W,8-7",0,3.0,3,0,0,1,1,0,0,1.04,13,42,27,9,1,6,5,2,0,0,,0,0,0,0,0,12,2,0,1,0,0,0,2.65,0.419,0.23%,1.53
2018-04-11,BAL,TOR,"W,5-3",2,1.0,0,0,0,0,1,0,0,0.93,3,12,7,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.93,0.071,0.03%,0.50
2018-04-15,BAL,BOS,"L,1-3",3,2.1,3,0,0,0,2,0,0,0.75,9,30,20,5,3,5,2,1,0,0,,2,0,1,0,0,9,0,0,0,0,0,0,.53,0.077,0.04%,1.69
2018-04-18,BAL,DET,"L,5-6",2,0.2,0,0,0,0,1,0,0,0.71,2,6,4,0,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,1.61,0.104,0.03%,1.21
2018-04-20,BAL,CLE,"W,3-1",1,2.0,1,0,0,1,1,0,0,0.61,8,19,14,3,1,3,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.42,0.145,0.04%,1.00
2018-04-23,BAL,CLE,"L,1-2",2,1.0,0,0,0,0,0,0,0,0.57,3,8,6,1,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.50,0.038,0.01%,0.50
2018-04-27,BAL,DET,"W,6-0",3,1.0,0,0,0,0,0,0,0,0.54,3,11,8,3,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,0.00%,0.50
2018-05-01,BAL,LAA,"L,2-3",3,1.1,0,0,0,0,0,0,0,0.50,4,15,10,3,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.70,0.072,0.01%,0.74
2018-05-03,BAL,LAA,"L,3-12",1,1.1,2,0,0,0,2,0,0,0.47,6,22,17,6,3,3,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.00,0.000,0.00%,0.61
2018-05-04,BAL,OAK,"L,4-6",0,0.1,1,0,0,0,1,0,0,0.46,2,11,7,0,4,0,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.37,0.007,0.00%,0.23
2018-05-08,BAL,KCR,"L,7-15",3,1.0,2,0,0,0,0,0,0,0.44,4,13,9,2,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.00,0.000,0.00%,0.50
2018-05-09,BAL,KCR,"W,5-3",0,2.0,2,0,0,0,0,0,0,0.40,6,25,17,2,2,5,1,1,0,0,,0,0,0,0,0,6,0,0,0,2,0,0,1.74,0.195,0.01%,1.00
2018-05-11,BAL,TBR,"W,9-4",1,0.1,3,2,2,1,0,0,0,1.17,5,17,10,3,0,0,4,3,0,0,,1,1,0,0,0,4,0,1,0,0,0,0,.20,-0.028,0.00%,-2.91
2018-05-16,BAL,PHI,"L,1-4",4,0.2,2,1,1,0,1,0,0,1.52,4,8,7,0,1,1,2,1,0,0,,2,1,0,0,0,4,0,1,0,0,0,0,1.08,-0.120,-0.01%,-0.94
2018-05-18,BAL,BOS,"W,7-4",1,0.1,2,0,0,0,0,0,0,1.50,3,10,7,1,1,2,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,1.46,-0.068,0.00%,-0.81
2018-05-21,BAL,CHW,"W,3-2",2,1.0,1,0,0,0,0,0,0,1.44,4,10,7,2,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.00,0.142,0.01%,0.50
2018-05-22,BAL,CHW,"L,2-3",0,0.1,1,0,0,0,0,0,0,1.42,2,9,6,0,1,0,2,1,0,0,,3,2,0,0,0,1,0,0,0,0,1,0,5.19,-0.309,-0.01%,-0.86
2018-05-25,BAL,TBR,"W,2-0",2,1.0,0,0,0,0,1,0,0,1.37,3,10,7,2,2,1,1,0,1,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.37,0.194,0.01%,1.12
2018-05-28,BAL,WSN,"L,0-6",2,0.2,5,3,3,0,1,0,0,2.33,7,25,15,2,4,4,2,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.21,-0.061,0.00%,-2.94
2018-06-01,BAL,NYY,"L,1-4",3,1.0,2,0,0,0,0,0,0,2.25,5,23,13,2,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.31,0.015,0.00%,0.50
2018-06-05,BAL,NYM,"W,2-1",3,0.2,0,0,0,0,0,0,0,2.20,2,8,6,2,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,1,0,1,4.33,0.141,0.00%,0.48
2018-06-06,BAL,NYM,"W,1-0",0,1.0,1,0,0,0,0,0,0,2.12,3,14,10,2,1,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.56,0.132,0.00%,0.44
2018-06-07,BAL,TOR,"L,4-5",0,1.0,1,0,0,0,0,0,0,2.05,4,11,9,3,1,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.69,0.051,0.00%,0.50
2018-06-09,BAL,TOR,"L,3-4",1,0.1,0,0,0,0,0,0,0,2.03,1,3,2,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.73,0.021,0.00%,0.23
2018-06-11,BAL,BOS,"L,0-2",1,1.0,0,0,0,0,2,0,0,1.97,3,8,7,4,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.138,0.00%,0.50
2018-06-13,BAL,BOS,"L,1-5",1,0.2,0,0,0,0,0,0,0,1.93,2,5,4,0,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.10,0.005,0.00%,0.34
2019-03-30,BAL,NYY,"W,5-3",99,0.1,3,2,2,0,0,1,0,54.00,4,16,11,1,0,0,4,3,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.16,-0.098,-0.06%,-1.69
2019-04-01,BAL,TOR,"W,6-5",1,1.0,2,1,1,0,1,0,0,20.25,5,15,11,1,3,0,4,2,1,0,,1,1,0,0,0,4,1,1,0,0,1,0,2.75,0.094,0.07%,-1.07
2019-04-03,BAL,TOR,"L,3-5",1,1.2,0,0,0,0,1,0,0,9.00,5,14,11,1,5,1,3,2,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.57,0.079,0.06%,1.25
2019-04-09,BAL,OAK,"L,2-13",5,1.1,4,4,4,0,2,1,1,14.54,9,27,19,6,6,1,5,2,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.13,-0.027,-0.02%,-1.53
2019-05-16,BAL,CLE,"L,7-14",36,1.2,2,2,2,2,1,0,0,13.50,10,35,20,7,2,3,4,2,1,0,,3,3,0,0,0,8,2,0,0,0,0,0,.17,-0.070,-0.01%,-2.77
2019-05-19,BAL,CLE,"L,0-10",2,2.0,1,1,1,0,1,0,0,11.25,7,31,23,6,2,4,2,0,0,0,,1,0,1,0,0,7,1,0,0,0,0,0,.16,0.020,0.00%,1.00
2019-05-21,BAL,NYY,"L,4-11",1,1.0,0,0,0,0,0,0,0,10.00,3,11,6,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.55
2019-05-24,BAL,COL,"L,6-8",2,0.2,1,1,1,0,0,0,0,10.24,3,9,5,0,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.86,0.040,0.00%,0.35
