date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,MIN,DET,"L,0-11",99,3.0,6,6,6,4,2,0,0,18.00,19,78,43,13,3,5,8,2,0,0,21,,,0,0,0,15,2,1,1,0,0,0,.89,-0.273,-0.17%,-4.47
2015-05-02,MIN,CHW,"W,5-3",23,5.0,8,3,3,1,4,0,1,10.13,21,76,48,15,9,7,8,6,0,0,42,,,0,2,0,19,1,0,0,1,0,0,1.19,-0.060,-0.03%,-0.57
2015-05-07,MIN,OAK,"W,6-5",4,5.0,6,4,4,1,1,0,0,9.00,22,94,57,14,5,6,14,5,4,0,39,,,1,0,0,19,3,0,0,0,2,0,1.10,-0.190,-0.12%,-1.57
2015-05-13,MIN,DET,"W,6-2",5,5.1,4,2,0,3,7,0,0,6.38,23,106,67,18,9,10,3,1,0,0,60,,,0,0,0,20,0,0,0,1,0,1,.55,0.116,0.09%,1.34
2015-05-19,MIN,PIT,"W,8-5",5,5.2,10,4,3,1,8,1,0,6.00,29,93,62,13,16,8,12,6,1,0,42,,,0,0,0,28,3,0,0,0,0,1,.51,0.003,0.00%,-1.82
2015-05-25,MIN,BOS,"W,7-2",5,7.2,7,2,2,0,5,0,0,5.12,29,103,67,19,8,11,13,5,1,0,62,,,0,0,0,29,1,0,0,1,0,0,.60,0.159,0.12%,1.58
2015-05-31,MIN,TOR,"W,6-5",5,1.0,3,2,2,0,1,0,0,5.51,6,28,15,5,1,0,5,3,1,0,40,,,0,0,0,6,1,0,0,0,0,0,.94,-0.093,-0.07%,-0.86
2015-09-30,MIN,CLE,"L,2-10",99,2.0,2,3,3,1,5,1,0,5.97,9,34,20,5,6,1,2,1,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,.01,-0.001,0.00%,-1.96
2015-10-04,MIN,KCR,"L,1-6",3,2.2,4,5,5,3,2,1,0,6.75,15,53,31,6,5,4,6,5,1,0,29,,,0,0,0,12,2,0,0,0,0,0,.84,-0.308,0.00%,-3.64
2017-04-03,LAA,OAK,"L,2-4",99,5.2,7,3,3,2,4,2,0,4.76,25,91,53,15,8,5,14,10,1,0,45,,,0,0,0,23,0,0,0,1,0,0,1.11,-0.138,-0.09%,-0.43
2017-04-08,LAA,SEA,"W,5-4",4,6.0,4,2,2,1,3,1,0,3.86,22,87,54,13,9,5,13,4,2,0,58,,,0,0,0,21,1,0,0,0,0,0,1.02,0.147,0.10%,1.07
2017-04-13,LAA,TEX,"L,3-8",4,5.0,8,5,5,0,7,2,0,5.40,23,98,62,15,11,4,11,4,3,0,38,,,2,1,0,22,1,0,0,0,0,0,.56,-0.267,-0.20%,-2.44
2017-04-18,LAA,HOU,"W,5-2",4,6.0,8,2,2,0,3,2,0,4.76,24,103,61,18,9,10,11,4,2,0,51,,,0,0,0,24,0,0,0,1,0,0,.86,0.063,0.04%,0.98
2017-04-27,LAA,OAK,"W,2-1",8,5.2,3,1,1,2,4,0,0,4.13,23,98,61,16,11,10,7,3,2,0,61,,,0,0,0,21,1,0,0,0,0,1,.96,0.138,0.09%,1.29
2017-05-03,LAA,SEA,"L,7-8",5,4.1,8,4,4,2,6,2,0,4.68,22,73,47,17,4,4,10,7,0,0,35,,,0,0,0,19,3,0,1,1,0,0,.78,-0.153,-0.11%,-2.41
2017-05-08,LAA,OAK,"L,2-3",4,7.0,5,2,2,0,10,2,0,4.31,26,103,64,15,16,7,9,3,0,0,69,,,0,0,0,25,2,0,0,0,0,0,1.07,0.181,0.11%,1.51
2017-05-13,LAA,DET,"L,3-4",4,6.0,5,3,3,4,4,2,0,4.34,26,100,59,13,13,6,12,5,0,0,50,,,0,1,0,22,0,0,0,0,0,0,.92,-0.096,-0.05%,0.07
2017-05-19,LAA,NYM,"L,0-3",5,6.0,4,2,1,3,4,0,0,4.01,27,103,61,21,9,10,10,4,1,0,59,,,0,0,0,22,1,0,1,0,0,2,1.07,0.041,0.02%,0.91
2017-05-24,LAA,TBR,"L,2-5",4,6.0,7,5,5,2,6,3,0,4.37,25,98,65,12,16,4,13,4,1,0,42,,,0,0,1,23,3,0,0,0,0,0,.91,-0.190,-0.12%,-1.96
2017-05-29,LAA,ATL,"L,3-6",4,2.2,7,6,6,2,2,0,0,5.07,17,65,40,12,5,6,7,5,0,0,20,,,0,0,0,15,3,0,0,0,0,0,1.29,-0.417,-0.20%,-4.91
2017-06-04,LAA,MIN,"L,2-3",5,5.2,7,3,3,0,7,2,1,5.05,24,96,58,12,13,8,8,4,0,0,50,,,0,1,0,23,0,0,0,0,0,0,1.13,-0.124,-0.06%,-0.16
2017-06-10,LAA,HOU,"L,1-3",5,7.0,8,2,2,0,2,1,1,4.81,27,106,69,20,8,15,9,3,1,0,55,,,0,1,0,25,1,0,0,2,1,0,.76,0.054,0.03%,1.48
2017-06-15,LAA,KCR,"L,2-7",4,6.0,10,5,5,2,4,2,0,5.01,30,92,57,12,7,10,14,6,0,0,34,,,0,0,0,28,4,0,0,0,0,0,.77,-0.199,-0.10%,-1.31
