date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-03,ARI,SDP,"L,0-7",99,5.0,5,3,2,3,4,0,0,3.60,24,90,54,20,6,7,10,3,1,0,,0,0,0,0,0,21,2,0,1,0,0,1,.11,-0.032,-0.02%,-0.65
2021-04-10,ARI,CIN,"W,8-3",6,6.0,8,2,2,1,2,0,0,3.27,25,82,59,9,8,10,12,6,2,0,49,,,1,1,0,24,1,0,0,1,0,0,.92,0.051,0.02%,1.03
2021-04-21,ARI,CIN,"W,8-5",10,1.2,0,0,0,2,1,0,0,2.84,6,25,11,7,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.28,0.030,0.01%,0.90
2021-04-22,ARI,CIN,"W,14-11",0,0.1,2,2,2,0,0,1,0,4.15,3,11,8,2,0,1,2,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.23,-0.115,-0.06%,-1.73
2021-04-28,ARI,SDP,"L,3-12",5,4.0,6,3,3,0,0,0,0,4.76,17,46,31,7,1,8,9,7,1,0,38,,,0,0,0,17,1,0,0,1,0,0,1.00,-0.117,-0.08%,-0.60
2021-05-04,ARI,MIA,"L,3-9",5,5.0,5,3,3,2,4,1,0,4.91,21,75,49,14,6,8,7,2,0,0,47,,,0,0,0,19,1,0,0,1,0,0,.64,-0.127,-0.08%,-0.50
2021-05-09,ARI,NYM,"L,2-4",4,4.0,4,2,2,1,1,0,0,4.85,16,51,32,8,3,8,6,2,1,0,46,,,0,1,1,14,0,0,0,0,1,0,.96,-0.052,-0.03%,-0.06
2021-05-14,ARI,WSN,"L,2-17",4,3.0,8,8,8,2,0,2,0,6.83,20,67,44,14,5,8,10,4,0,0,9,,,0,0,0,18,4,1,0,0,0,1,.54,-0.433,-0.19%,-6.48
2021-05-21,ARI,COL,"L,1-7",6,2.0,1,1,1,0,2,1,0,6.68,7,25,15,7,1,1,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.09,-0.010,0.00%,0.15
2021-05-25,ARI,SFG,"L,0-8",3,3.0,5,1,1,0,2,0,0,6.35,14,59,40,7,3,4,8,4,0,0,,0,0,0,0,0,14,1,0,0,0,0,0,.08,0.006,0.00%,0.52
