date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-08,BOS,PHI,"L,2-4",99,1.0,0,1,0,0,2,0,0,0.00,4,18,11,4,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,1,1,.32,-0.021,-0.01%,-0.55
2015-04-10,BOS,NYY,"W,6-5",1,0.2,0,0,0,0,0,0,0,0.00,2,10,5,1,0,0,2,0,1,0,,3,1,0,0,0,1,0,0,0,0,1,0,3.83,0.112,0.08%,0.56
2015-04-11,BOS,NYY,"W,8-4",0,1.0,1,0,0,0,1,0,0,0.00,4,10,7,1,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.23,0.018,0.01%,0.49
2015-04-15,BOS,WSN,"L,5-10",3,2.0,3,2,2,1,0,1,0,3.86,9,41,25,5,2,4,4,1,2,0,,1,0,0,0,0,8,0,0,0,1,0,0,.32,-0.042,-0.03%,-0.57
2015-04-18,BOS,BAL,"L,1-4",2,1.0,2,2,2,0,0,1,0,6.35,5,12,8,1,0,1,4,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.46,-0.123,-0.10%,-1.48
2015-04-20,BOS,BAL,"W,7-1",1,0.2,0,0,0,0,0,0,0,5.68,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.26,0.011,0.01%,0.54
2015-04-21,BOS,TBR,"W,1-0",0,0.1,0,0,0,0,0,0,0,5.40,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.92,0.023,0.02%,0.10
2015-04-26,BOS,BAL,"L,7-18",4,1.0,3,1,1,0,1,0,0,5.87,6,15,13,4,2,3,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,-0.001,0.00%,-0.50
2015-04-28,BOS,TOR,"L,8-11",1,1.2,2,0,0,1,1,0,0,4.82,7,33,22,4,5,3,2,1,0,0,,2,0,0,0,0,6,1,0,0,1,0,0,.70,0.065,0.05%,1.46
2015-05-01,BOS,NYY,"L,2-3",2,1.0,0,0,0,2,1,0,0,4.35,5,22,11,3,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,.99,0.040,0.03%,0.52
2015-05-03,BOS,NYY,"L,5-8",1,0.1,1,0,0,0,0,0,0,4.22,2,11,7,2,2,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.25,0.006,0.00%,0.24
2015-05-06,BOS,TBR,"L,3-5",2,1.0,0,0,0,0,1,0,0,3.86,3,11,7,2,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.40,0.030,0.02%,0.52
2015-05-08,BOS,TOR,"L,0-7",1,0.0,4,3,3,0,0,0,0,6.17,4,18,10,2,2,0,3,2,0,1,,0,0,0,0,0,4,1,1,0,0,0,0,.04,-0.011,-0.01%,-3.62
2015-05-22,BOS,LAA,"L,5-12",13,2.1,1,0,0,2,2,0,0,5.14,10,45,27,9,3,4,2,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.02,0.003,0.00%,1.15
2015-05-30,BOS,TEX,"L,0-8",7,3.0,3,2,2,0,3,0,1,5.29,13,42,28,5,6,4,5,4,1,0,,3,1,0,0,0,12,1,0,0,0,0,0,.07,0.007,0.00%,0.38
2015-06-15,BOS,ATL,"L,2-4",15,1.2,3,0,0,0,1,0,0,4.82,7,22,17,3,0,4,2,1,0,0,,3,1,0,0,0,7,0,0,0,1,0,0,.36,0.013,0.00%,0.73
2015-06-17,BOS,ATL,"L,2-5",1,0.2,0,0,0,0,1,0,0,4.66,2,6,4,1,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.48,0.160,0.03%,0.95
2015-06-19,BOS,KCR,"W,7-3",1,1.0,2,1,1,1,1,1,0,4.87,6,28,16,4,2,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.23,0.004,0.00%,-0.49
2015-06-23,BOS,BAL,"L,4-6",3,2.0,1,1,1,1,1,0,0,4.84,8,34,18,4,3,5,1,1,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,.61,-0.006,0.00%,0.16
2015-06-25,BOS,BAL,"L,6-8",1,2.0,1,0,0,2,1,0,0,4.44,9,33,17,5,3,2,4,2,0,0,,1,0,0,0,0,6,0,0,1,0,0,1,.67,0.085,0.02%,1.67
2015-07-01,BOS,TOR,"L,2-11",5,3.0,3,1,1,1,1,1,0,4.28,13,49,30,8,1,5,6,4,1,0,,0,0,0,0,0,12,1,0,0,1,0,1,.04,-0.004,0.00%,0.50
2015-07-08,BOS,MIA,"W,6-3",6,1.0,0,0,0,0,1,0,0,4.13,3,13,10,2,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.049,0.02%,0.52
2015-07-10,BOS,NYY,"L,1-5",1,3.2,2,1,0,1,4,0,0,3.66,16,71,46,13,7,8,3,1,2,0,,2,2,0,0,0,15,0,0,0,0,0,2,.92,-0.078,-0.04%,-0.01
2015-07-20,BOS,LAA,"L,1-11",9,3.0,2,0,0,0,3,0,0,3.34,10,36,25,10,2,3,4,3,1,0,,0,0,0,0,0,10,0,0,0,1,0,0,.00,0.000,0.00%,1.37
