date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,NYM,STL,"W,9-4",99,1.0,0,0,0,0,3,0,0,0.00,3,14,9,2,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.024,0.01%,0.44
2018-03-31,NYM,STL,"W,6-2",1,0.2,2,0,0,0,1,0,0,0.00,4,14,9,4,0,2,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.51,-0.065,-0.04%,-0.60
2018-04-04,NYM,PHI,"W,4-2",3,2.0,0,0,0,0,3,0,0,0.00,6,22,17,2,6,2,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.92,0.135,0.09%,0.89
2018-04-05,NYM,WSN,"W,8-2",0,0.1,0,0,0,0,1,0,0,0.00,1,5,3,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.11
2018-04-08,NYM,WSN,"W,6-5",2,2.0,2,1,1,2,1,0,0,1.50,10,36,20,6,4,5,2,1,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,2.66,-0.047,-0.04%,0.03
2018-04-11,NYM,MIA,"W,4-1",2,1.0,0,0,0,0,3,0,0,1.29,3,15,10,2,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.045,0.03%,0.45
2018-04-13,NYM,MIL,"W,6-5",1,0.1,0,0,0,0,0,0,0,1.23,1,4,2,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.14,0.103,0.07%,0.41
2018-04-15,NYM,MIL,"W,3-2",1,1.0,2,1,0,1,2,0,0,1.08,7,22,12,1,2,2,2,1,1,0,,1,1,0,0,0,6,0,0,0,0,0,1,2.70,-0.300,-0.22%,-1.56
2018-04-17,NYM,WSN,"L,2-5",1,2.0,2,2,2,1,1,0,0,2.61,9,34,22,6,3,4,3,1,0,0,,0,0,2,0,0,7,0,0,0,0,0,0,.85,-0.144,-0.12%,-1.11
2018-04-20,NYM,ATL,"W,5-3",2,2.0,1,0,0,1,3,0,0,2.19,8,35,24,5,6,4,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,2.18,0.270,0.23%,0.98
2018-04-24,NYM,STL,"W,6-5",3,1.0,1,0,0,1,1,0,0,2.03,4,12,7,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,3.27,0.131,0.10%,0.47
2018-04-26,NYM,STL,"L,3-4",1,0.2,1,0,0,0,0,0,0,1.93,2,7,5,1,0,2,0,0,0,0,,2,1,0,0,0,2,0,0,0,1,0,0,4.50,-0.018,-0.01%,0.15
2018-04-29,NYM,SDP,"W,14-2",2,1.0,2,0,0,0,0,0,0,1.80,5,14,10,2,1,2,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2018-05-02,NYM,ATL,"L,0-7",2,1.0,4,4,4,0,0,2,0,3.94,7,28,16,1,1,3,4,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.14,-0.056,-0.05%,-3.56
2018-05-05,NYM,COL,"L,0-2",2,2.0,3,1,1,2,3,0,1,4.00,11,30,21,5,7,3,2,1,0,0,,0,0,0,0,0,8,0,0,2,0,0,0,.95,-0.026,-0.02%,-0.11
2018-05-07,NYM,CIN,"W,7-6",1,2.2,1,1,1,0,0,1,0,3.92,9,22,15,4,0,4,5,2,0,0,,2,1,0,0,0,8,0,0,0,0,1,0,1.41,0.134,0.08%,0.17
2018-05-09,NYM,CIN,"L,1-2",1,2.0,0,0,0,0,0,0,0,3.57,6,17,11,2,0,3,3,0,2,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.28,0.193,0.12%,0.99
2018-05-13,NYM,PHI,"L,2-4",3,3.0,3,0,0,2,2,0,0,3.16,12,42,25,7,3,7,1,1,0,0,,0,0,0,0,0,9,1,0,0,2,0,0,1.19,0.165,0.11%,1.48
2018-05-16,NYM,TOR,"L,1-12",2,1.0,0,0,0,1,1,0,0,3.04,4,21,12,3,3,1,1,0,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.16,0.014,0.01%,1.41
2018-05-18,NYM,ARI,"W,3-1",1,1.0,0,0,0,0,0,0,0,2.93,3,8,5,1,0,1,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.91,0.067,0.03%,0.44
2018-05-20,NYM,ARI,"W,4-1",1,1.2,0,0,0,0,3,0,0,2.76,5,25,16,5,4,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.37,0.045,0.03%,0.68
2018-05-22,NYM,MIA,"L,1-5",1,1.0,1,0,0,1,1,0,0,2.67,5,29,19,4,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.55,0.029,0.02%,0.44
2018-05-25,NYM,MIL,"L,3-4",2,1.2,2,1,1,1,1,0,0,2.81,7,18,14,7,1,1,4,2,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,2.75,0.208,0.14%,0.76
2018-05-27,NYM,MIL,"L,7-8",1,0.2,1,2,2,1,0,0,0,3.31,4,14,9,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.50,0.007,0.00%,0.06
2018-05-28,NYM,ATL,"W,8-5",0,1.0,3,1,1,1,1,0,0,3.48,7,23,16,1,5,3,2,1,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,3.07,-0.112,-0.07%,-0.51
2018-05-30,NYM,ATL,"W,4-1",1,1.0,0,0,0,0,0,0,0,3.38,3,13,9,4,1,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.51,0.039,0.02%,0.49
2018-06-02,NYM,CHC,"L,1-7",2,1.0,0,0,0,1,3,0,0,3.28,4,23,15,4,3,0,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.44,0.100,0.05%,0.44
2018-06-06,NYM,BAL,"L,0-1",3,1.0,0,0,0,0,2,0,1,3.19,3,16,10,2,3,0,0,0,0,0,,0,0,0,0,1,2,0,0,0,0,0,0,.56,0.032,0.01%,0.44
2018-06-09,NYM,NYY,"L,3-4",2,1.0,0,0,0,1,0,0,0,3.11,3,16,7,2,0,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.59,0.083,0.02%,0.44
2018-06-10,NYM,NYY,"W,2-0",0,2.0,1,0,0,0,2,0,0,2.95,8,25,18,7,3,3,3,0,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.62,0.131,0.03%,0.89
2018-06-16,NYM,ARI,"W,5-1",5,1.1,0,0,0,0,2,0,1,2.85,6,23,15,2,3,2,1,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,1,.96,0.059,0.01%,0.95
2018-06-17,NYM,ARI,"W,5-3",0,1.0,0,0,0,0,1,0,0,2.79,4,12,8,0,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,2.38,0.093,0.01%,0.51
2018-06-20,NYM,COL,"L,8-10",2,1.0,2,3,3,1,0,1,0,3.35,6,19,10,3,0,0,5,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.09,-0.344,-0.06%,-2.43
2018-06-23,NYM,LAD,"L,3-8",2,2.0,4,5,5,1,2,1,0,4.20,11,31,24,6,5,3,5,1,1,0,,0,0,0,0,0,9,0,0,1,0,0,0,.89,-0.180,-0.02%,-4.11
2018-06-25,NYM,PIT,"L,4-6",1,2.0,2,1,1,1,3,0,0,4.21,9,35,23,6,3,2,3,2,1,0,,0,0,0,0,0,7,0,0,0,0,1,0,.82,-0.026,0.00%,-0.11
2018-06-27,NYM,PIT,"L,3-5",1,0.1,2,1,1,0,0,0,0,4.37,3,13,8,2,0,1,2,2,0,0,,0,0,1,0,0,2,1,0,0,0,1,0,1.16,-0.070,-0.01%,-1.03
2018-06-30,NYM,MIA,"L,2-5",2,1.0,2,2,0,0,1,0,0,4.28,6,27,18,6,1,4,1,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,1,.74,-0.139,-0.01%,-1.55
2018-07-03,NYM,TOR,"L,6-8",2,0.1,1,1,1,0,0,1,0,4.44,2,8,6,1,0,0,2,0,1,0,,2,2,0,0,0,2,0,0,0,0,0,0,1.41,-0.375,-0.01%,-2.50
