date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-17,OAK,CHW,"W,10-2",99,1.0,1,2,2,0,4,1,0,18.00,5,31,19,3,8,0,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.000,0.00%,-1.51
2018-04-23,OAK,TEX,"W,9-4",5,1.0,0,0,0,0,1,0,0,9.00,3,10,7,2,0,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.079,0.04%,0.56
2018-04-24,OAK,TEX,"W,3-2",0,1.1,0,0,0,1,0,0,0,5.40,5,20,15,4,0,1,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.91,0.161,0.09%,0.82
2018-04-27,OAK,HOU,"W,8-1",2,1.0,1,0,0,0,0,0,0,4.15,3,7,4,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.09,0.004,0.00%,0.51
2018-04-29,OAK,HOU,"L,4-8",1,0.2,1,0,0,1,0,0,0,3.60,3,10,5,0,1,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,1,0,0,.65,-0.032,-0.02%,-0.32
2018-05-02,OAK,SEA,"W,3-2",2,0.2,0,0,0,0,1,0,0,3.18,2,9,6,1,3,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.78,0.037,0.02%,0.89
2018-05-04,OAK,BAL,"W,6-4",1,1.0,0,0,0,0,3,0,0,2.70,3,16,10,5,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.120,0.06%,0.50
2018-05-08,OAK,HOU,"L,2-4",3,1.0,2,0,0,0,0,0,0,2.35,4,10,7,2,0,1,3,2,1,0,,0,0,0,0,0,4,0,0,0,1,0,0,.49,0.028,0.02%,0.50
2018-05-11,OAK,NYY,"W,10-5",2,0.1,2,1,1,0,0,0,0,3.38,3,8,6,1,2,3,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.62,-0.155,-0.07%,-0.91
2018-05-12,OAK,NYY,"L,6-7",0,0.1,1,0,0,0,1,0,0,3.24,2,7,5,2,2,0,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,2.47,-0.085,-0.05%,-0.49
2018-05-16,OAK,BOS,"L,4-6",3,1.0,4,3,3,1,1,1,0,5.79,8,34,19,3,3,2,4,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.58,-0.200,-0.11%,-2.47
2018-05-17,OAK,TOR,"W,10-5",0,0.2,1,1,1,1,0,0,0,6.30,4,25,14,5,0,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.29,0.002,0.00%,0.06
2018-05-23,OAK,SEA,"L,0-1",5,0.2,1,0,0,0,1,0,0,5.91,3,16,10,1,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.00,0.014,0.01%,0.18
2018-05-25,OAK,ARI,"L,1-7",1,1.1,2,1,1,0,0,0,0,6.00,6,21,14,2,1,2,4,2,0,0,,1,0,0,0,0,6,1,1,0,0,0,0,.04,-0.001,0.00%,-0.28
2018-05-29,OAK,TBR,"L,3-4",3,2.0,2,1,1,0,2,1,0,5.79,7,29,18,6,3,1,4,1,1,0,,0,0,0,1,0,7,0,0,0,0,0,0,.33,-0.005,0.00%,-0.01
2018-06-05,OAK,TEX,"L,4-7",6,0.2,0,0,0,0,0,0,0,5.52,1,6,4,0,1,1,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,1.42,0.094,0.05%,0.58
2018-06-06,OAK,TEX,"L,2-8",0,1.1,1,0,0,0,3,0,0,5.06,5,25,17,3,6,1,1,0,0,0,,3,2,0,0,0,5,0,0,0,0,0,0,.10,-0.020,-0.01%,-0.62
2018-07-10,OAK,HOU,"L,5-6",33,1.0,0,0,0,0,0,0,0,4.76,3,18,11,3,1,1,2,0,2,0,,1,0,0,0,0,3,0,0,0,0,0,0,.51,0.035,0.02%,0.89
