date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,MIN,BAL,"W,6-2",99,2.0,1,0,0,1,3,0,0,0.00,8,30,20,4,6,2,2,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.13,0.019,0.01%,1.00
2018-04-05,MIN,SEA,"W,4-2",4,0.1,1,0,0,1,1,0,0,0.00,3,18,12,2,3,0,1,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,2.01,-0.116,-0.07%,-0.69
2018-04-07,MIN,SEA,"L,4-11",1,1.0,1,0,0,0,0,0,0,0.00,4,14,9,2,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.75,0.036,0.02%,0.52
2018-04-09,MIN,HOU,"L,0-2",1,1.0,0,0,0,0,2,0,0,0.00,3,13,9,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.24,0.019,0.01%,0.52
2018-04-10,MIN,HOU,"W,4-1",0,1.0,1,0,0,0,0,0,0,0.00,4,10,7,3,0,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.00,0.072,0.05%,0.52
2018-04-12,MIN,CHW,"W,4-0",1,1.0,0,0,0,0,1,0,0,0.00,3,16,13,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.31,0.024,0.02%,0.52
2018-04-18,MIN,CLE,"W,2-1",5,2.0,2,0,0,0,0,0,0,0.00,7,23,16,5,0,5,2,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,2.90,0.281,0.23%,1.03
2018-04-20,MIN,TBR,"L,7-8",1,1.0,1,0,0,1,2,0,0,0.00,5,22,14,2,3,1,1,0,0,0,,1,1,1,0,0,4,0,0,0,0,0,0,.29,-0.014,-0.01%,-0.12
2018-04-22,MIN,TBR,"L,6-8",1,1.2,0,0,0,0,4,0,0,0.00,5,21,15,4,6,0,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.41,0.207,0.13%,1.68
2018-04-24,MIN,NYY,"L,3-8",1,1.0,0,0,0,0,3,0,0,0.00,3,19,12,3,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.01%,0.51
2018-04-25,MIN,NYY,"L,4-7",0,1.0,1,0,0,0,2,0,0,0.00,4,10,9,3,2,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.33,0.021,0.01%,0.51
2018-04-27,MIN,CIN,"L,9-15",1,0.2,2,1,1,0,1,0,0,0.66,4,16,8,2,2,2,1,1,0,0,,2,2,0,0,0,3,0,1,0,0,1,0,1.27,-0.169,-0.09%,-1.23
2018-04-30,MIN,TOR,"L,5-7",2,1.2,3,1,0,1,1,0,0,0.59,10,33,18,5,3,5,3,1,0,0,,0,0,0,1,0,9,0,0,0,0,0,2,.83,-0.033,-0.02%,-0.41
2018-05-01,MIN,TOR,"L,4-7",0,1.0,1,1,1,0,1,1,0,1.10,4,10,8,4,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.87,-0.103,-0.05%,-0.48
2018-05-03,MIN,CHW,"L,5-6",1,1.0,0,0,0,0,2,0,1,1.04,3,14,8,2,5,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.51,0.107,0.05%,0.50
2018-05-04,MIN,CHW,"W,6-4",0,0.1,1,0,0,1,1,0,0,1.02,3,12,7,0,4,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,3.42,0.039,0.02%,0.23
2018-05-08,MIN,STL,"W,7-1",3,2.0,0,0,0,0,2,0,0,0.92,6,25,18,4,4,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.29,0.044,0.03%,0.94
2018-05-10,MIN,LAA,"L,4-7",1,0.2,2,1,1,1,0,0,0,1.33,5,19,11,3,1,2,2,1,0,0,,1,1,0,0,0,3,1,0,0,0,1,0,1.65,-0.241,-0.15%,-1.48
2018-05-12,MIN,LAA,"W,5-3",1,1.0,1,1,1,2,3,0,0,1.69,6,26,11,5,3,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.85,-0.140,-0.09%,-0.50
2018-05-13,MIN,LAA,"L,1-2",0,1.0,0,0,0,0,1,0,0,1.61,2,6,4,2,0,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,2.89,0.226,0.15%,1.50
2018-05-16,MIN,STL,"L,5-7",2,1.0,1,2,2,2,1,0,0,2.31,6,23,13,4,1,1,2,2,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,1.45,-0.080,-0.05%,-0.48
2018-05-19,MIN,MIL,"L,4-5",2,0.2,0,0,0,0,1,0,0,2.25,2,8,8,2,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.98,0.050,0.03%,0.27
2018-05-20,MIN,MIL,"W,3-1",0,0.2,2,0,0,0,1,0,0,2.19,4,14,11,1,5,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.59,0.050,0.03%,0.27
2018-05-22,MIN,DET,"W,6-0",1,0.1,0,0,0,0,1,0,0,2.16,1,7,5,0,3,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.66,0.044,0.04%,0.45
2018-05-23,MIN,DET,"L,1-4",0,1.0,2,0,0,1,1,0,0,2.08,6,27,20,4,3,3,1,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,.33,-0.011,-0.01%,0.14
2018-05-26,MIN,SEA,"L,3-4",2,0.2,0,0,0,0,1,0,0,2.03,2,6,4,0,2,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.46,0.023,0.01%,0.25
2018-05-27,MIN,SEA,"L,1-3",0,0.1,0,0,0,0,1,0,0,2.00,1,4,3,0,3,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.37,0.056,0.03%,0.29
2018-05-28,MIN,KCR,"W,8-5",0,0.1,1,0,0,0,0,0,0,1.98,2,2,2,0,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.88,0.052,0.03%,0.23
2018-05-30,MIN,KCR,"L,8-11",1,1.0,1,1,1,0,2,1,0,2.22,4,13,10,3,5,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,-0.027,-0.02%,-0.49
2018-06-02,MIN,CLE,"W,7-1",2,1.0,2,0,0,0,2,0,0,2.15,5,26,21,6,4,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.32,0.006,0.00%,0.52
2018-06-03,MIN,CLE,"W,7-5",0,0.0,1,2,2,1,0,1,0,2.76,2,5,1,0,0,0,1,0,0,0,,1,1,0,0,0,1,0,0,0,0,0,0,1.84,-0.420,-0.30%,-2.78
2018-06-06,MIN,CHW,"L,2-5",2,1.0,2,2,2,0,2,0,0,3.26,5,19,13,4,5,1,2,2,0,0,,2,2,1,0,0,4,0,0,0,0,0,0,2.12,-0.348,-0.18%,-2.48
2018-06-08,MIN,LAA,"L,2-4",1,1.0,2,2,2,0,2,1,0,3.73,5,22,17,4,4,0,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.63,-0.326,-0.17%,-1.48
2018-06-12,MIN,DET,"W,6-4",3,1.0,1,0,0,1,1,0,0,3.62,5,19,14,4,3,0,3,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.03,0.049,0.03%,0.53
2018-06-13,MIN,DET,"L,2-5",0,1.0,0,0,0,0,1,0,0,3.51,3,15,9,0,5,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.43,0.110,0.06%,0.53
2018-06-16,MIN,CLE,"W,9-3",2,1.0,1,0,0,0,3,0,0,3.41,4,14,11,2,5,1,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.10,0.003,0.00%,0.53
2018-06-21,MIN,BOS,"L,2-9",4,0.1,2,3,3,1,1,0,0,4.15,4,19,11,4,2,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.80,-0.139,-0.07%,-2.44
2018-06-23,MIN,TEX,"L,6-9",1,1.0,0,0,0,0,1,0,0,4.04,3,14,10,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.52
2018-06-26,MIN,CHW,"L,4-8",2,0.1,0,0,0,1,1,0,0,4.00,2,9,5,3,1,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,3.59,-0.033,-0.01%,-0.23
