date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-03,SDP,ARI,"W,7-0",99,3.0,1,0,0,0,3,0,0,0.00,9,38,25,9,2,3,3,1,1,0,,0,0,0,0,0,9,0,0,0,1,0,0,.04,0.008,0.01%,1.41
2021-04-07,SDP,SFG,"L,2-3",3,1.0,0,0,0,1,1,0,0,0.00,3,11,6,3,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.96,0.052,0.04%,0.47
2021-04-10,SDP,TEX,"W,7-4",2,2.0,1,1,1,1,3,1,0,1.50,8,31,18,5,5,1,3,2,0,0,,0,0,0,0,1,7,0,0,0,0,0,1,.77,-0.044,-0.03%,0.03
2021-04-16,SDP,LAD,"L,6-11",5,3.2,1,0,0,2,3,0,0,0.93,14,79,46,11,6,4,5,2,2,0,60,,,0,0,0,12,0,0,0,1,0,1,1.05,0.184,0.14%,1.66
2021-04-22,SDP,LAD,"W,3-2",5,5.2,1,0,0,1,6,0,1,0.59,20,89,56,20,7,6,6,2,1,0,72,,,0,0,0,18,0,0,0,0,0,0,1.07,0.356,0.23%,2.96
2021-04-28,SDP,ARI,"W,12-3",5,1.0,0,0,0,1,0,0,0,0.55,3,19,10,4,0,1,1,0,0,0,52,,,0,0,0,2,0,0,0,1,0,0,.90,0.048,0.03%,0.51
2021-05-04,SDP,PIT,"L,1-2",5,3.0,4,1,1,0,1,0,0,0.93,12,37,25,7,1,6,5,3,1,0,,0,0,0,0,1,12,3,0,0,0,0,0,1.06,0.026,0.02%,0.41
2021-05-09,SDP,SFG,"W,11-1",4,3.0,1,0,0,1,3,0,0,0.81,11,54,32,9,5,3,4,1,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,.43,0.079,0.06%,1.50
2021-05-16,SDP,STL,"W,5-3",6,4.0,4,2,2,0,0,1,0,1.37,17,69,41,11,4,8,9,4,2,0,46,,,0,0,0,17,1,0,0,0,0,1,.71,-0.052,-0.04%,-0.12
2021-05-22,SDP,SEA,"W,6-4",5,4.0,6,1,1,2,2,1,0,1.48,19,67,46,11,9,4,11,7,0,0,46,,,0,0,1,17,1,0,0,0,0,0,.98,0.089,0.07%,0.88
