date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-30,CLE,TOR,"L,1-5",99,3.0,2,0,0,0,0,0,0,0.00,10,29,20,5,2,6,4,4,0,0,,1,1,0,0,0,9,1,0,0,0,0,0,.28,0.023,0.01%,1.19
2015-05-02,CLE,TOR,"L,4-11",1,2.0,0,0,0,0,2,0,0,0.00,6,21,15,4,4,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.01,0.002,0.00%,1.04
2015-05-07,CLE,KCR,"L,4-7",4,1.0,0,0,0,1,0,0,0,0.00,4,11,5,0,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.00%,0.51
2015-05-08,CLE,MIN,"L,3-9",0,1.0,2,1,1,2,0,0,0,1.29,6,17,7,2,0,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,.05,-0.003,0.00%,-0.48
2015-05-09,CLE,MIN,"L,4-7",0,1.0,1,1,1,0,0,1,0,2.25,4,13,11,5,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,1,.09,-0.009,0.00%,-0.48
2015-05-12,CLE,STL,"L,3-8",2,1.0,0,0,0,0,1,0,0,2.00,3,7,7,2,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,0.00%,0.52
2015-05-15,CLE,TEX,"W,8-3",2,2.0,0,0,0,0,2,0,2,1.64,9,39,25,6,5,4,1,0,0,0,,1,0,0,0,0,7,0,0,0,0,0,1,1.27,0.120,0.03%,1.18
2015-05-21,CLE,CHW,"W,5-2",5,1.2,0,0,0,0,2,0,0,1.42,5,19,13,5,2,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.23,0.029,0.01%,0.84
2015-05-25,CLE,TEX,"L,8-10",3,1.1,1,0,0,0,2,0,0,1.29,5,19,15,6,4,2,1,1,0,0,,2,2,1,0,0,5,1,0,0,0,0,0,1.25,-0.110,-0.04%,-0.97
2015-05-29,CLE,SEA,"L,1-2",3,0.1,0,0,0,2,0,0,0,1.26,3,15,6,2,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.28,-0.008,0.00%,-0.41
2015-05-31,CLE,SEA,"W,6-3",1,1.0,0,0,0,0,1,0,0,1.17,3,11,7,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.040,0.02%,0.46
2015-06-07,CLE,BAL,"L,3-7",6,1.1,1,1,0,0,3,0,0,1.08,5,18,12,4,4,1,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.24,0.016,0.01%,0.50
2015-06-10,CLE,SEA,"L,3-9",2,1.0,1,0,0,0,1,0,0,1.02,4,15,10,0,6,0,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,0.52
2015-06-14,CLE,DET,"L,1-8",3,1.0,4,3,3,0,0,0,0,2.41,7,15,12,2,0,3,4,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.01,-0.004,0.00%,-2.52
2015-06-17,CLE,CHC,"L,0-17",2,2.0,3,1,1,1,1,1,0,2.61,9,26,17,5,3,2,5,3,0,0,,2,2,0,0,0,8,1,0,0,1,0,0,.04,-0.017,-0.01%,-0.96
2015-06-20,CLE,TBR,"L,1-4",2,1.0,1,0,0,2,0,0,0,2.49,6,22,10,2,2,3,1,1,0,0,,0,0,0,0,0,4,0,1,1,1,0,0,.24,0.003,0.00%,0.13
