date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-05-11,TOR,BOS,"W,5-3",99,3.0,1,0,0,0,3,0,1,0.00,12,44,30,10,1,2,6,1,1,0,,0,0,1,0,0,11,0,0,0,0,0,1,2.67,0.413,0.25%,1.50
2018-05-13,TOR,BOS,"L,3-5",1,1.1,1,1,1,1,3,0,0,2.08,6,33,18,6,3,1,1,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,.98,-0.014,-0.01%,-0.19
2018-05-19,TOR,OAK,"L,4-5",5,5.1,6,0,0,1,6,0,0,0.93,23,88,61,18,9,7,9,5,1,0,61,,,0,0,0,22,2,0,0,0,0,0,.95,0.248,0.11%,2.09
2018-05-25,TOR,PHI,"W,6-5",5,6.0,3,3,3,2,6,2,0,2.30,23,84,58,17,10,8,7,2,1,0,58,,,0,0,0,21,1,0,0,0,0,0,.79,0.091,0.02%,-0.04
2018-05-30,TOR,BOS,"L,4-6",4,6.0,7,4,4,0,4,2,0,3.32,23,83,55,13,10,11,8,4,1,0,46,,,0,1,0,23,1,0,0,0,0,0,.91,-0.217,-0.05%,-0.81
2018-06-06,TOR,NYY,"L,0-3",6,7.0,3,0,0,3,4,0,0,2.51,27,104,65,22,8,14,6,3,1,0,72,,,0,0,0,24,1,0,0,0,0,0,1.21,0.443,0.06%,3.51
2018-06-11,TOR,TBR,"L,4-8",4,3.1,7,5,5,2,3,1,1,3.66,20,70,43,17,3,3,11,6,2,0,27,,,1,0,0,16,1,0,0,0,1,0,1.49,-0.426,-0.06%,-3.28
2018-06-17,TOR,WSN,"W,8-6",5,4.0,6,3,2,2,6,0,0,3.75,19,77,49,14,9,5,6,4,0,0,44,,,4,0,0,17,1,0,0,0,0,0,1.15,-0.117,-0.01%,-1.00
2018-06-24,TOR,LAA,"W,7-6",6,4.2,5,3,3,0,5,1,0,3.98,19,71,46,22,6,6,8,2,2,0,47,,,0,0,0,19,0,0,0,0,0,1,1.07,-0.138,-0.01%,-0.73
2018-06-30,TOR,DET,"W,4-3",5,7.0,4,3,3,3,5,2,0,3.97,27,97,59,16,13,11,8,4,0,0,59,,,0,2,0,23,1,0,0,0,0,1,.97,0.052,0.00%,0.51
2018-07-06,TOR,NYY,"W,6-2",5,4.1,4,2,1,3,6,1,0,3.81,21,101,57,20,9,8,4,3,0,0,52,,,1,0,0,18,0,0,0,0,0,1,.91,-0.052,0.00%,-1.07
2018-07-11,TOR,ATL,"L,5-9",4,1.2,6,6,6,0,0,0,1,4.70,14,48,34,6,1,8,5,1,0,0,19,,,0,0,0,11,2,0,0,0,1,0,1.20,-0.350,-0.01%,-5.25
2018-07-14,TOR,BOS,"L,2-6",2,3.1,4,1,1,1,2,1,0,4.58,13,56,31,12,5,4,6,1,1,0,49,,,0,0,0,12,0,0,0,1,0,0,.97,0.057,0.00%,0.84
