date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,LAD,SFG,"W,5-0",99,1.0,0,0,0,2,1,0,0,0.00,4,17,6,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.22,0.006,0.00%,0.47
2018-04-02,LAD,ARI,"L,7-8",1,1.0,0,0,0,1,0,0,0,0.00,3,12,6,1,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.62,0.088,0.06%,0.51
2018-04-03,LAD,ARI,"L,1-6",0,0.1,2,3,3,2,1,0,0,11.57,5,27,16,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.29,-0.139,-0.08%,-2.08
2018-04-07,LAD,SFG,"L,5-7",3,1.0,0,0,0,0,1,0,0,8.10,3,13,7,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.74,0.127,0.07%,0.45
2018-04-11,LAD,OAK,"L,6-16",3,1.0,2,2,2,1,0,0,0,10.38,6,21,10,3,1,3,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.15,-0.027,-0.01%,-1.53
2018-04-14,LAD,ARI,"L,1-9",2,2.0,0,0,0,0,0,0,0,7.11,6,24,16,6,0,4,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.05,0.007,0.00%,0.95
2018-04-16,LAD,SDP,"W,10-3",1,1.0,3,1,1,0,0,0,0,7.36,5,14,11,5,0,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,.03,0.000,0.00%,-0.55
2018-04-17,LAD,SDP,"W,7-3",0,1.0,0,0,0,1,0,0,0,6.48,3,11,5,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.26,0.127,0.06%,0.45
2018-04-25,LAD,MIA,"L,6-8",7,1.0,3,2,2,0,2,1,0,7.71,6,24,16,4,6,2,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.20,-0.046,-0.02%,-1.53
2018-04-27,LAD,SFG,"L,4-6",1,1.0,2,0,0,1,1,0,0,6.97,6,22,12,3,2,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.41,0.012,0.01%,0.45
2018-04-28,LAD,SFG,"W,15-6",0,1.0,0,0,0,1,1,0,0,6.35,4,16,9,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.45
2018-05-09,LAD,ARI,"W,6-3",10,1.1,0,0,0,0,1,0,0,5.68,4,14,10,3,2,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.00,0.201,0.08%,0.90
2018-05-11,LAD,CIN,"L,2-6",1,1.0,0,0,0,1,0,0,0,5.27,4,20,9,2,0,3,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.27,0.013,0.01%,0.47
2018-05-16,LAD,MIA,"L,5-6",4,0.1,0,0,0,0,1,0,0,5.14,1,4,3,1,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.94,0.023,0.01%,0.41
2018-05-19,LAD,WSN,"W,5-4",2,2.0,0,0,0,1,4,0,0,4.50,6,23,13,1,6,1,0,0,0,0,59,,,0,0,0,5,0,0,0,1,0,0,.85,0.106,0.03%,1.03
2018-05-21,LAD,COL,"L,1-2",1,0.1,1,0,0,0,0,0,0,4.41,2,6,3,0,0,1,1,0,1,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.28,-0.222,-0.10%,-0.65
2018-05-23,LAD,COL,"W,3-0",1,1.0,1,0,0,0,0,0,0,4.15,3,7,7,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.82,0.040,0.02%,0.47
2018-05-26,LAD,SDP,"L,5-7",2,0.1,1,0,0,0,0,0,1,4.08,3,5,3,1,0,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.13,-0.195,-0.10%,-0.78
2018-05-28,LAD,PHI,"W,5-4",1,1.0,1,0,0,0,0,0,0,3.86,4,16,9,2,3,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.33,0.016,0.01%,0.47
2018-05-29,LAD,PHI,"L,1-6",0,1.1,2,1,1,1,0,0,0,4.05,7,21,15,3,2,5,1,0,0,0,,1,1,0,0,0,6,0,0,0,0,0,0,1.05,-0.139,-0.07%,-1.22
2018-06-01,LAD,COL,"W,11-8",2,1.1,2,1,1,0,1,0,0,4.22,6,19,11,2,2,4,1,1,0,0,47,,,0,0,0,6,0,1,0,0,0,0,1.16,-0.012,-0.01%,-0.17
2018-06-02,LAD,COL,"W,12-4",0,1.0,0,0,0,0,1,0,0,4.03,3,9,5,0,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,0.00%,0.57
2018-06-05,LAD,PIT,"W,5-0",2,1.0,1,0,0,0,0,0,0,3.86,4,16,10,3,1,4,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.42,0.021,0.01%,0.46
2018-06-06,LAD,PIT,"L,9-11",0,0.1,1,2,2,1,0,0,0,4.56,3,8,4,0,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.19,-0.064,-0.04%,-0.69
2018-06-07,LAD,PIT,"W,8-7",0,1.0,0,0,0,1,2,0,0,4.38,4,17,9,3,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.77,0.053,0.03%,0.46
2018-06-09,LAD,ATL,"L,3-5",1,1.0,3,1,1,0,1,0,0,4.56,5,10,9,3,2,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,.68,-0.058,-0.04%,-0.53
2018-06-13,LAD,TEX,"W,3-2",3,1.0,0,0,0,1,1,0,0,4.39,4,17,12,3,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.55,0.085,0.06%,0.47
2018-06-15,LAD,SFG,"W,3-2",1,0.1,0,0,0,0,0,0,0,4.33,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.01,0.026,0.02%,0.10
