date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-03,NYM,PHI,"W,2-0",99,2.0,0,0,0,0,4,0,0,0.00,6,22,19,6,7,2,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.89,0.131,0.09%,0.89
2018-04-05,NYM,WSN,"W,8-2",1,1.0,1,0,0,0,0,0,0,0.00,4,24,16,4,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.07,0.003,0.00%,0.51
2018-04-08,NYM,WSN,"W,6-5",2,3.0,1,0,0,3,3,0,0,0.00,13,39,23,7,5,4,3,0,1,0,,0,0,0,0,0,10,0,0,2,0,0,0,3.08,0.419,0.33%,1.54
2018-04-13,NYM,MIL,"W,6-5",4,2.0,6,1,1,0,0,1,0,1.13,10,28,19,7,1,6,4,1,1,0,,0,0,0,0,0,10,0,0,0,1,0,0,1.29,-0.029,-0.02%,-0.35
2018-04-16,NYM,WSN,"L,6-8",2,0.0,0,1,1,1,0,0,0,2.25,1,4,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,.63,-0.027,-0.02%,-0.65
2018-04-18,NYM,WSN,"W,11-5",1,1.0,1,1,1,0,0,1,0,3.00,4,15,11,2,3,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.01,0.001,0.00%,-0.56
2018-04-20,NYM,ATL,"W,5-3",1,2.0,0,0,0,2,1,0,0,2.45,6,38,21,6,3,1,2,2,0,0,,0,0,0,2,0,4,0,0,0,0,0,0,1.79,0.192,0.16%,0.98
2018-04-26,NYM,STL,"L,3-4",5,1.0,0,0,0,1,0,0,1,2.25,5,18,8,3,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.10,0.131,0.10%,0.47
2018-04-28,NYM,SDP,"L,2-12",1,2.1,4,3,3,0,5,0,1,3.77,13,48,32,9,7,2,5,2,1,0,,0,0,0,0,0,12,3,0,0,0,0,0,.00,-0.004,0.00%,-2.01
2018-05-01,NYM,ATL,"L,2-3",2,2.0,2,0,0,0,2,0,0,3.31,8,23,19,4,4,3,3,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.35,0.037,0.03%,0.89
2018-05-04,NYM,COL,"L,7-8",2,3.0,1,0,0,1,3,0,0,2.79,11,43,30,7,6,2,5,2,0,0,,2,1,0,0,0,10,0,0,0,0,0,0,.07,0.002,0.00%,1.30
2018-05-08,NYM,CIN,"L,2-7",3,1.0,0,0,0,0,1,0,0,2.66,3,11,8,3,1,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,0.01%,0.49
2018-05-09,NYM,CIN,"L,1-2",0,1.0,0,0,0,0,2,0,0,2.53,3,12,9,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.80,0.136,0.08%,0.49
