date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-04-28,PHI,STL,"L,5-11",99,2.2,10,7,7,2,0,0,0,23.63,18,60,40,8,2,7,9,4,0,0,8,,,0,0,0,14,2,1,0,1,2,0,.81,-0.442,-0.19%,-6.01
2015-05-03,PHI,MIA,"W,6-2",4,5.0,5,2,2,1,5,0,0,10.57,20,78,53,13,8,6,8,4,0,0,53,,,2,1,0,18,1,0,0,0,1,0,.99,-0.055,-0.02%,0.23
2015-05-20,PHI,COL,"W,4-2",16,5.0,5,1,1,0,0,0,0,7.11,18,65,45,11,5,5,13,8,2,0,53,,,1,0,0,18,0,0,0,0,0,0,.86,0.188,0.07%,1.74
2015-05-25,PHI,NYM,"L,3-6",4,4.1,6,3,3,0,8,2,1,6.88,20,69,51,10,14,3,8,7,1,0,47,,,0,0,0,19,0,0,0,0,0,0,1.07,-0.293,-0.11%,-1.89
2015-06-06,PHI,SFG,"L,5-7",11,2.2,7,6,6,1,5,0,2,8.69,18,83,49,20,4,4,6,4,1,0,24,,,0,0,0,14,0,0,0,0,1,0,.92,-0.288,-0.04%,-3.38
2015-06-28,PHI,WSN,"W,8-5",21,5.1,6,4,4,1,7,2,0,8.28,24,114,72,14,13,9,7,5,2,0,46,,,0,0,0,22,1,0,0,0,0,1,.77,-0.070,0.00%,-1.54
2015-07-09,PHI,LAD,"L,0-6",10,5.2,5,4,4,2,3,1,1,7.92,25,84,56,18,7,6,13,5,3,0,44,,,0,0,0,22,2,0,0,0,0,0,.67,-0.142,0.00%,-1.92
2016-06-17,PHI,ARI,"L,2-10",99,1.2,2,0,0,0,2,0,0,0.00,6,21,15,5,4,1,3,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.09,0.015,0.00%,0.75
2016-06-18,PHI,ARI,"L,1-4",0,2.0,1,1,1,0,3,1,0,2.45,7,31,24,5,6,1,3,1,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.29,-0.043,-0.01%,-0.02
2016-06-21,PHI,MIN,"L,10-14",2,1.2,1,0,0,1,1,0,0,1.69,7,37,24,4,5,3,2,0,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.11,0.015,0.00%,1.46
2016-06-23,PHI,MIN,"W,7-3",1,1.0,0,0,0,0,2,0,0,1.42,3,11,7,3,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.08,0.082,0.01%,0.51
2016-06-24,PHI,SFG,"L,4-5",0,0.0,1,1,1,0,0,0,0,2.84,1,2,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.91,-0.078,-0.01%,-0.38
2016-06-26,PHI,SFG,"L,7-8",1,1.1,2,1,1,0,1,0,0,3.52,6,21,16,2,2,1,4,1,1,0,,0,0,0,0,0,6,2,0,0,0,0,0,1.89,-0.264,-0.03%,-0.71
2016-06-27,PHI,ARI,"W,8-0",0,1.0,1,0,0,0,3,0,0,3.12,4,20,14,0,5,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.53
