date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-09-14,DET,CLE,"W,5-4",99,1.0,0,0,0,0,1,0,0,0.00,3,11,7,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.10,0.085,0.00%,0.53
2018-09-19,DET,MIN,"L,2-8",4,4.0,6,6,6,1,2,0,0,10.80,19,81,54,17,2,4,12,6,0,0,27,,,0,0,0,18,2,0,0,0,0,0,.69,-0.309,0.00%,-3.89
2018-09-25,DET,MIN,"W,4-2",5,6.0,6,1,1,1,5,0,0,5.73,24,99,65,17,13,8,10,7,1,0,60,,,0,0,0,23,1,0,0,1,0,0,.78,0.181,0.00%,2.10
2018-09-30,DET,MIL,"L,0-11",4,5.1,5,4,4,2,7,1,0,6.06,23,92,59,18,11,10,4,3,1,0,47,,,0,0,0,21,0,0,0,0,0,0,.66,-0.141,0.00%,-1.22
2019-03-30,DET,TOR,"L,0-3",99,5.0,4,3,3,2,5,1,1,5.40,21,91,54,12,9,4,9,5,2,0,50,,,0,0,0,18,1,0,0,0,0,0,.65,-0.088,-0.05%,-0.32
2019-04-04,DET,KCR,"W,5-4",4,6.0,6,3,2,2,10,0,0,4.09,26,91,65,18,15,5,9,4,2,0,58,,,0,0,0,23,1,1,0,0,1,0,1.18,0.032,0.02%,0.38
2019-04-11,DET,CLE,"L,0-4",6,4.0,8,3,3,1,4,1,0,4.80,20,91,54,8,10,4,11,5,0,0,37,,,2,0,0,19,0,0,0,0,0,0,.90,-0.099,-0.08%,-0.75
2019-04-17,DET,PIT,"L,2-3",5,6.0,2,1,0,2,5,0,0,3.43,23,92,57,13,6,11,5,1,0,0,69,,,0,0,0,21,0,0,0,0,0,1,1.03,0.256,0.15%,2.38
2019-04-23,DET,BOS,"W,4-2",5,5.0,3,0,0,4,2,0,2,2.77,22,94,51,13,8,9,5,3,1,0,59,,,0,0,0,16,0,0,0,2,0,0,1.40,0.281,0.17%,2.90
2019-04-30,DET,PHI,"W,3-1",6,6.0,3,1,1,2,5,0,2,2.53,25,94,59,14,11,10,6,4,1,0,65,,,1,0,0,21,1,0,0,0,0,0,1.25,0.264,0.13%,2.24
