date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-01,NYM,STL,"L,1-5",99,4.0,4,3,3,3,4,2,0,6.75,18,89,53,14,8,5,6,2,0,0,43,,,1,0,0,15,1,0,0,1,0,0,.98,-0.182,-0.11%,-1.22
2018-04-07,NYM,WSN,"W,3-2",5,5.0,3,1,0,2,8,0,0,3.00,20,93,59,30,2,7,4,2,1,0,65,,,4,0,0,17,0,0,0,0,0,1,1.07,0.123,0.09%,1.56
2018-04-13,NYM,MIL,"W,6-5",5,5.1,3,4,3,2,5,2,1,3.77,22,83,55,15,7,7,7,1,1,0,51,,,1,0,0,18,1,0,0,1,0,1,1.03,-0.083,-0.06%,-1.57
2018-04-18,NYM,WSN,"W,11-5",4,4.0,3,3,3,1,6,1,0,4.42,15,74,46,17,8,7,1,1,0,0,49,,,0,1,1,14,0,0,0,0,0,0,.58,-0.181,-0.15%,-1.22
2018-04-25,NYM,STL,"L,1-9",6,3.1,5,7,3,2,3,0,1,4.98,20,88,53,18,6,7,7,3,0,0,31,,,0,0,0,14,1,0,0,0,1,1,1.23,-0.369,-0.27%,-4.66
2018-05-05,NYM,COL,"L,0-2",9,6.0,3,1,1,1,5,1,0,4.23,21,88,52,17,8,7,8,2,0,0,66,,,2,0,0,20,0,0,0,0,0,0,.87,0.167,0.11%,1.66
2018-05-11,NYM,PHI,"W,3-1",5,5.0,5,1,1,4,3,1,1,3.86,23,95,54,25,8,7,8,3,0,0,52,,,1,0,0,18,0,0,0,2,0,0,1.14,0.123,0.08%,1.47
2018-05-19,NYM,ARI,"W,5-4",7,4.0,6,4,4,1,2,2,0,4.42,18,79,50,11,5,7,8,2,1,0,35,,,2,0,0,17,2,0,0,1,0,0,1.02,-0.321,-0.18%,-2.22
2018-05-24,NYM,MIL,"W,5-0",4,6.0,4,0,0,3,3,0,1,3.80,25,94,58,19,5,10,8,2,1,0,64,,,0,0,0,21,0,0,0,1,0,0,1.21,0.297,0.19%,2.96
2018-05-29,NYM,ATL,"L,6-7",4,3.0,1,0,0,2,2,0,1,3.55,13,42,27,9,5,6,2,1,0,0,57,,,0,0,0,10,0,0,1,0,0,0,1.22,0.152,0.10%,1.46
2018-06-03,NYM,CHC,"L,0-2",4,7.0,5,2,2,2,7,0,0,3.42,26,100,66,16,13,12,5,3,1,0,64,,,3,1,1,23,1,0,0,1,1,0,1.19,0.033,0.01%,1.11
2018-06-09,NYM,NYY,"L,3-4",5,6.0,5,3,3,4,6,2,0,3.53,25,105,57,19,7,7,8,2,0,0,52,,,0,0,1,21,1,0,0,1,0,0,1.23,-0.070,-0.02%,-0.34
2018-06-16,NYM,ARI,"W,5-1",6,6.2,6,1,1,1,3,0,0,3.31,27,103,67,21,7,13,10,4,0,0,60,,,0,0,0,26,0,1,0,0,0,0,.71,0.216,0.03%,2.11
2018-06-21,NYM,COL,"L,4-6",4,5.2,8,5,5,2,6,1,1,3.68,27,97,67,17,6,8,11,8,1,0,37,,,2,0,0,24,3,0,0,1,0,0,.74,-0.241,-0.04%,-1.72
2018-06-26,NYM,PIT,"W,4-3",4,7.0,6,3,3,0,7,1,1,3.69,27,110,75,23,10,13,6,4,0,0,60,,,0,0,0,26,1,0,0,1,0,0,1.18,-0.104,-0.01%,0.11
2018-07-01,NYM,MIA,"W,5-2",4,5.1,3,1,0,2,6,0,0,3.46,23,109,69,22,14,8,7,2,3,0,64,,,2,0,0,21,1,0,0,1,0,3,1.24,0.211,0.01%,1.49
2018-07-07,NYM,TBR,"L,0-3",5,6.1,5,1,1,3,5,0,1,3.31,28,110,65,14,10,9,10,6,0,0,61,,,1,0,0,24,4,0,0,0,0,0,1.29,0.147,0.01%,1.63
2018-07-12,NYM,WSN,"L,4-5",4,6.1,8,3,3,2,4,2,0,3.38,29,100,64,25,4,12,11,5,1,0,47,,,1,0,0,26,0,0,0,0,0,0,.98,-0.043,0.00%,-0.13
2018-07-21,NYM,NYY,"L,6-7",8,5.0,9,5,5,1,3,0,0,3.65,25,92,62,9,14,6,15,6,2,0,31,,,0,0,0,24,4,1,0,0,0,0,.89,-0.351,-0.01%,-2.83
2018-07-26,NYM,PIT,"W,12-6",4,6.0,3,4,4,2,9,2,0,3.79,24,106,63,28,9,5,8,1,3,0,57,,,0,0,0,22,0,0,0,0,0,1,.78,-0.150,0.00%,-1.22
2018-07-31,NYM,WSN,"L,4-25",4,0.2,8,7,7,1,2,0,0,4.35,11,32,22,10,1,5,3,3,0,0,9,,,2,0,0,10,2,0,1,0,0,0,1.01,-0.410,-0.01%,-6.93
2018-08-16,NYM,PHI,"L,6-9",15,2.0,5,6,4,1,2,2,1,4.60,14,58,31,7,6,2,8,5,0,0,27,,,3,0,0,12,0,0,0,0,0,1,.91,-0.466,0.00%,-5.01
