date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-02,ARI,LAD,"W,8-7",99,1.0,2,1,1,0,1,0,0,9.00,5,25,18,6,0,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.44,-0.050,-0.03%,-0.49
2018-04-03,ARI,LAD,"W,6-1",0,1.0,0,0,0,0,1,0,0,4.50,3,10,7,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.51
2018-04-13,ARI,LAD,"W,8-7",9,0.1,2,1,1,0,0,0,0,7.71,3,13,7,4,0,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.95,-0.046,-0.04%,-1.11
2018-04-14,ARI,LAD,"W,9-1",0,4.0,2,0,0,0,1,0,0,2.84,14,59,35,12,4,9,4,1,0,0,,0,0,0,0,0,14,2,0,0,0,0,0,.45,0.121,0.10%,1.89
2018-04-21,ARI,SDP,"W,6-2",6,2.0,1,0,0,0,1,0,0,2.16,6,17,10,2,0,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.32,0.038,0.03%,1.02
2018-04-24,ARI,PHI,"W,8-4",2,1.0,0,0,0,0,2,0,0,1.93,3,14,9,6,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.01%,0.49
2018-04-26,ARI,PHI,"W,8-2",1,2.0,3,0,0,0,1,0,0,1.59,8,33,21,5,3,4,3,2,0,0,,0,0,0,0,0,8,0,0,0,1,0,0,.27,0.010,0.01%,0.99
2018-04-29,ARI,WSN,"L,1-3",2,4.2,5,3,2,3,1,2,0,2.25,22,78,45,8,5,12,6,2,0,0,,0,0,0,0,0,19,1,0,0,1,0,1,.66,-0.171,-0.13%,-0.68
2018-05-02,ARI,LAD,"L,1-2",2,1.0,1,1,1,0,0,0,0,2.65,4,22,13,3,1,1,3,2,1,0,,0,0,0,0,0,3,1,0,0,0,1,0,.94,-0.089,-0.07%,-0.49
2018-05-04,ARI,HOU,"L,0-8",1,4.1,5,1,1,0,3,0,0,2.53,18,59,38,12,5,5,10,6,1,0,,0,0,0,0,0,18,3,0,0,0,0,0,.04,0.007,0.01%,1.01
