date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-04-20,ARI,CHC,"W,6-0",99,3.0,1,0,0,0,2,0,1,0.00,11,39,22,5,4,4,4,1,1,0,,0,0,0,0,0,10,0,0,0,0,0,0,.11,0.025,0.02%,1.62
2019-05-07,ARI,TBR,"L,3-6",16,6.0,7,2,2,0,2,1,0,2.00,23,90,61,15,6,13,8,3,0,0,52,,,1,0,0,23,2,0,0,1,0,0,.92,0.069,0.05%,1.22
2019-05-25,ARI,SFG,"W,10-4",17,6.1,5,3,2,3,4,0,1,2.35,27,100,64,14,8,8,11,5,0,0,54,,,0,0,1,23,2,0,0,0,0,1,.86,0.071,0.04%,1.57
2019-05-30,ARI,COL,"L,10-11",4,2.0,4,5,5,2,3,1,1,4.67,13,55,32,9,6,3,4,2,0,0,29,,,0,0,0,9,1,1,0,0,1,0,1.26,-0.341,-0.19%,-3.75
2019-06-04,ARI,LAD,"L,0-9",4,5.0,4,3,2,2,4,0,0,4.43,21,96,59,10,8,5,10,3,2,0,51,,,0,0,0,19,1,1,0,0,0,1,.88,-0.092,-0.04%,-0.33
2019-06-10,ARI,PHI,"W,13-8",5,3.1,6,4,4,2,4,2,0,5.26,18,77,48,8,9,7,5,1,1,0,34,,,1,0,0,15,0,1,0,0,0,0,1.02,-0.223,-0.12%,-2.55
2019-06-15,ARI,WSN,"W,10-3",4,4.2,7,3,3,0,6,2,0,5.34,21,97,63,14,12,2,13,6,1,0,44,,,0,0,0,20,0,1,0,0,1,0,.86,-0.030,-0.02%,-0.45
2019-06-21,ARI,SFG,"L,5-11",5,3.0,7,6,6,2,3,2,1,6.48,19,71,42,11,5,3,10,5,1,0,22,,,0,0,0,16,3,0,0,0,0,0,.88,-0.330,-0.15%,-4.79
2019-06-26,ARI,LAD,"W,8-2",4,5.0,3,2,2,3,3,1,0,6.10,21,93,57,11,10,8,7,2,1,0,53,,,0,0,0,17,1,0,0,1,1,1,.71,0.088,0.04%,0.67
2019-07-02,ARI,LAD,"L,4-5",5,3.2,5,3,3,3,1,1,0,6.21,18,71,39,8,2,6,8,4,0,0,37,,,0,0,0,15,1,0,0,0,0,0,1.09,-0.148,-0.07%,-1.20
2019-07-19,ARI,MIL,"W,10-7",16,3.2,7,4,4,2,0,1,0,6.50,18,75,44,11,7,6,10,6,1,0,29,,,0,1,0,16,2,0,0,0,0,0,.88,-0.186,-0.10%,-1.97
2019-07-24,ARI,BAL,"W,5-2",4,6.0,4,2,2,0,7,2,0,6.10,22,87,57,14,16,7,8,2,0,0,63,,,0,0,0,22,1,0,0,0,0,0,.80,0.117,0.05%,1.21
2019-07-30,ARI,NYY,"W,4-2",5,5.1,3,1,0,2,6,0,1,5.53,22,95,54,12,13,5,8,5,2,0,64,,,0,0,0,19,1,0,0,0,0,1,.97,0.157,0.06%,1.53
2019-08-04,ARI,WSN,"W,7-5",4,5.2,4,3,3,1,3,2,1,5.46,22,73,48,14,5,5,12,4,2,0,51,,,0,0,0,20,0,0,0,0,0,0,.91,0.048,0.02%,0.10
2019-08-17,ARI,SFG,"L,6-11",12,1.2,5,5,3,1,1,1,0,5.74,12,53,37,6,4,3,7,1,2,0,29,,,0,0,0,10,0,0,0,0,1,1,1.24,-0.417,-0.13%,-4.45
2019-08-23,ARI,MIL,"L,1-6",5,2.0,0,0,0,0,3,0,0,5.56,6,29,18,4,5,1,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.005,0.00%,1.07
2019-08-29,ARI,LAD,"W,11-5",5,2.2,1,1,1,0,1,1,0,5.48,9,35,23,5,1,3,5,0,2,0,,0,0,0,0,0,9,0,0,0,0,0,0,.06,0.013,0.00%,0.35
2019-09-01,ARI,LAD,"L,3-4",2,2.0,2,1,1,0,1,1,0,5.45,8,33,21,5,2,2,5,1,3,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.71,-0.144,-0.06%,0.07
2019-09-11,ARI,NYM,"L,0-9",9,4.0,3,2,2,2,3,2,0,5.40,17,60,35,6,7,3,9,2,3,0,,0,0,0,0,0,15,1,0,0,0,0,0,.08,-0.026,-0.01%,-0.05
2019-09-17,ARI,MIA,"L,6-12",5,2.0,3,2,2,2,2,1,0,5.49,11,53,32,6,7,3,4,2,0,0,,2,2,0,0,0,9,1,0,0,0,0,0,.12,-0.022,0.00%,-1.43
2019-09-21,ARI,SDP,"W,4-2",3,3.0,2,1,1,1,2,1,0,5.40,11,47,29,5,5,5,3,0,1,0,,0,0,0,0,0,10,0,0,0,1,0,0,1.29,0.038,0.00%,0.51
2019-09-24,ARI,STL,"W,3-2",2,1.2,1,1,1,1,3,1,0,5.40,7,39,25,5,5,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.61,-0.164,0.00%,-0.17
2019-09-27,ARI,SDP,"W,6-3",2,3.0,2,1,1,1,4,0,0,5.31,12,44,30,10,4,4,3,2,1,0,54,,,0,0,0,10,0,0,0,0,1,0,.87,0.048,0.00%,0.60
2021-04-01,ARI,SDP,"L,7-8",99,1.0,0,0,0,0,1,0,0,0.00,3,7,7,0,2,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.38,0.028,0.02%,0.47
