date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,MIA,CHC,"L,4-8",99,1.1,2,3,2,0,4,1,0,13.50,7,38,22,6,5,0,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.68,-0.096,-0.05%,-0.95
2018-04-01,MIA,CHC,"W,6-0",2,1.0,1,0,0,0,1,0,0,7.71,4,18,12,4,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,0.005,0.00%,0.45
2018-04-03,MIA,BOS,"L,2-4",1,1.0,3,2,2,1,0,0,0,10.80,7,17,12,1,0,4,2,2,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,2.27,-0.419,-0.22%,-1.55
2018-04-05,MIA,PHI,"L,0-5",1,1.0,0,0,0,1,3,0,0,8.31,4,27,18,1,9,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.00%,0.49
2018-04-07,MIA,PHI,"L,1-20",1,1.0,4,2,2,0,1,0,0,10.13,7,20,13,0,5,3,3,1,0,0,,0,0,0,0,0,6,1,0,0,0,1,0,.00,0.000,0.00%,-1.51
2018-04-09,MIA,NYM,"L,2-4",1,1.0,0,0,0,0,1,0,0,8.53,3,9,6,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.45
2018-04-11,MIA,NYM,"L,1-4",1,0.1,0,1,1,0,1,0,1,9.45,2,4,3,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.86,-0.008,0.00%,-0.03
2018-04-13,MIA,PIT,"W,7-2",1,1.0,1,0,0,1,1,0,0,8.22,5,22,11,4,2,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.04,0.042,0.01%,0.45
2018-04-15,MIA,PIT,"L,3-7",1,1.0,0,0,0,0,2,0,0,7.27,3,13,8,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.00%,0.45
2018-04-17,MIA,NYY,"W,9-1",1,1.0,1,0,0,2,3,0,0,6.52,6,25,14,4,5,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.42,0.009,0.00%,0.51
2018-04-20,MIA,MIL,"L,0-8",2,1.1,0,0,0,1,4,0,0,5.73,5,24,15,7,3,0,0,0,0,0,,1,1,1,0,0,4,0,0,0,0,0,0,.14,-0.016,-0.01%,-0.28
2018-04-23,MIA,LAD,"L,1-2",2,1.0,0,0,0,1,3,0,0,5.25,4,18,12,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.73,0.041,0.01%,0.47
2018-04-24,MIA,LAD,"W,3-2",0,0.1,0,0,0,2,0,0,0,5.11,3,15,7,2,0,0,1,0,1,0,,2,1,0,0,0,1,0,0,0,0,0,0,3.28,-0.182,-0.03%,-0.58
2018-04-28,MIA,COL,"W,4-1",3,1.0,0,0,0,0,1,0,0,4.73,3,8,6,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.065,0.01%,0.45
2018-04-30,MIA,PHI,"W,8-4",1,1.0,0,0,0,0,2,0,0,4.40,3,12,8,2,4,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.020,0.01%,0.45
2018-05-01,MIA,PHI,"W,2-1",0,1.0,1,0,0,0,2,0,1,4.11,5,14,10,0,7,1,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,3.44,0.128,0.04%,0.45
2018-05-06,MIA,CIN,"W,8-5",4,1.0,2,1,1,0,1,0,0,4.41,5,19,11,2,1,1,3,2,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.89,-0.001,0.00%,-0.51
2018-05-08,MIA,CHC,"L,3-4",1,1.0,1,0,0,0,0,0,0,4.15,3,8,6,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.95,0.088,0.03%,0.50
2018-05-11,MIA,ATL,"W,6-3",2,1.0,0,0,0,0,1,0,0,3.93,3,14,9,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.56,0.042,0.01%,0.45
2018-05-12,MIA,ATL,"L,5-10",0,1.0,0,0,0,0,0,0,0,3.72,3,12,8,1,1,0,3,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.084,0.02%,0.45
2018-05-15,MIA,LAD,"W,4-2",2,1.0,1,1,1,0,0,1,0,3.98,4,13,8,3,0,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.05,-0.033,0.00%,-0.55
2018-05-20,MIA,ATL,"L,9-10",4,0.0,2,2,2,2,0,0,0,4.87,4,17,7,1,1,0,2,2,0,0,,1,1,1,0,0,2,0,0,0,0,0,0,5.39,-0.956,-0.15%,-3.21
