date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-06-26,LAD,ARI,"L,2-8",99,4.0,6,6,4,0,3,1,0,9.00,20,77,51,9,10,12,5,1,0,0,33,,,3,0,0,19,2,0,0,0,1,2,.65,-0.341,-0.08%,-3.86
2019-07-30,LAD,COL,"W,9-4",33,4.0,3,1,1,0,3,0,0,5.63,15,49,33,10,4,7,5,3,0,0,,0,0,0,0,0,15,1,0,0,0,0,0,.17,0.057,0.01%,1.50
2019-08-05,LAD,STL,"W,8-0",5,6.0,2,0,0,1,7,0,0,3.21,21,90,56,17,12,5,8,2,2,0,74,,,1,0,0,20,1,0,0,0,0,0,.50,0.190,0.01%,3.05
2019-08-18,LAD,ATL,"L,3-5",12,4.0,5,1,1,0,2,0,0,3.00,17,72,42,5,9,5,10,6,0,0,50,,,0,1,0,17,2,0,0,0,0,1,1.03,0.120,0.00%,1.22
2019-08-24,LAD,NYY,"W,2-1",5,5.0,2,1,1,2,2,1,0,2.74,18,76,44,9,9,4,10,4,1,0,59,,,0,0,0,16,0,0,0,0,0,0,.93,0.180,0.01%,1.54
2019-08-30,LAD,ARI,"L,4-5",5,5.0,3,2,2,3,5,1,0,2.89,21,92,56,19,8,6,7,2,2,0,55,,,1,0,0,18,2,0,0,0,0,0,1.05,0.031,0.00%,0.67
2019-09-07,LAD,SFG,"L,0-1",7,4.0,2,1,1,4,5,0,0,2.81,18,88,53,8,13,1,8,2,1,0,55,,,0,0,0,14,0,0,0,0,0,0,1.08,0.092,0.01%,1.03
2019-09-12,LAD,BAL,"W,4-2",4,3.0,2,1,1,0,4,1,0,2.83,11,41,26,7,4,4,3,0,1,0,,0,0,0,0,0,11,0,0,0,0,0,0,.92,0.035,0.00%,0.64
2019-09-18,LAD,TBR,"L,7-8",5,2.0,1,2,2,3,2,0,0,3.16,10,49,29,5,5,2,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.48,-0.130,-0.01%,-0.98
2019-09-24,LAD,SDP,"W,6-3",5,2.0,0,0,0,0,3,0,0,3.00,6,24,15,6,5,1,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.58,0.088,0.00%,1.00
2019-09-27,LAD,SFG,"W,9-2",2,1.0,0,0,0,2,1,0,1,2.93,6,35,19,3,4,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.003,0.00%,0.50
2021-06-09,LAD,PIT,"W,2-1",99,1.2,2,1,1,5,4,0,0,5.40,12,66,33,7,9,2,1,1,0,0,46,,,0,0,0,7,0,0,0,0,0,0,1.27,-0.079,-0.06%,-0.77
2021-06-14,LAD,PHI,"W,3-1",4,3.2,4,1,1,3,5,0,0,3.38,18,81,51,14,7,3,7,4,0,0,51,,,0,0,0,15,2,0,0,0,0,0,1.26,0.049,0.04%,0.60
2021-06-20,LAD,ARI,"W,9-8",5,3.2,3,1,1,0,2,0,0,3.00,14,46,36,11,5,3,9,3,2,0,53,,,0,0,0,14,1,0,0,0,0,0,.56,0.118,0.09%,0.79
2021-06-25,LAD,CHC,"W,6-2",4,4.0,1,1,1,2,7,1,0,2.77,15,69,37,12,11,0,6,0,0,0,61,,,0,0,0,13,0,0,0,0,0,0,.78,0.111,0.09%,1.05
2021-07-01,LAD,WSN,"W,6-2",5,3.0,2,1,1,3,4,0,0,2.81,13,52,28,4,8,3,3,1,0,0,,0,0,0,1,0,10,0,0,0,0,0,0,.92,0.003,0.00%,0.46
2021-07-06,LAD,MIA,"L,1-2",4,5.1,2,0,0,1,3,0,0,2.11,19,72,45,11,9,6,9,5,0,0,66,,,0,0,0,18,1,0,0,0,0,0,.91,0.334,0.21%,2.74
2021-07-11,LAD,ARI,"W,7-4",4,4.0,4,1,1,1,6,1,0,2.13,17,83,55,6,14,5,5,2,2,0,55,,,0,1,0,16,0,0,0,0,0,0,1.19,0.095,0.06%,1.05
2021-07-19,LAD,SFG,"L,2-7",7,3.1,5,3,3,4,3,2,0,2.83,19,80,39,11,7,2,10,3,2,0,37,,,0,0,0,15,1,0,0,0,0,0,.94,-0.177,-0.18%,-1.88
2021-07-24,LAD,COL,"W,1-0",4,5.1,2,0,0,2,7,0,0,2.38,20,81,48,18,6,6,5,1,1,0,69,,,0,0,0,18,1,0,0,0,0,0,.88,0.285,0.20%,2.53
2021-07-30,LAD,ARI,"L,5-6",5,1.2,1,2,2,5,1,0,0,2.78,11,55,24,7,4,2,3,1,2,0,41,,,0,0,0,6,1,0,0,0,0,0,1.45,-0.165,-0.11%,-1.76
2021-09-09,LAD,STL,"L,1-2",40,3.0,3,1,1,2,3,0,0,2.79,14,55,34,6,11,5,4,3,0,0,50,,,0,0,0,12,2,0,0,0,0,0,1.22,0.031,0.02%,0.41
2021-09-14,LAD,ARI,"W,8-4",4,5.0,2,0,0,2,6,0,0,2.47,18,67,45,13,8,6,4,2,0,0,67,,,0,0,0,15,0,0,0,1,0,0,.85,0.228,0.14%,2.56
2021-09-19,LAD,CIN,"W,8-5",4,2.1,3,3,3,2,2,1,0,2.93,11,37,25,7,6,2,5,2,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.67,-0.020,-0.02%,-1.01
2021-09-24,LAD,ARI,"W,4-2",4,5.0,3,2,2,0,7,1,0,3.00,18,68,44,15,12,3,8,3,0,0,60,,,0,0,0,18,0,0,0,0,0,0,.99,0.077,0.09%,0.53
2021-09-30,LAD,SDP,"W,8-3",5,4.2,4,3,3,2,5,2,0,3.23,20,78,53,14,9,6,7,1,1,0,47,,,0,0,0,17,0,0,0,0,0,0,.87,-0.018,-0.01%,-0.55
2020-07-31,LAD,ARI,"L,3-5",99,4.0,1,0,0,1,1,0,0,0.00,13,63,40,12,5,4,7,2,0,0,60,,,0,0,0,12,1,0,0,0,0,0,.83,0.225,0.16%,2.14
