date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-29,SFG,SDP,"L,1-4",99,0.1,0,0,0,0,0,0,0,0.00,1,9,6,2,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.32,0.008,0.01%,0.44
2019-03-30,SFG,SDP,"W,3-2",0,0.0,1,0,0,0,0,0,0,0.00,1,2,1,0,0,0,1,1,0,0,,2,2,0,0,0,1,1,0,0,0,0,0,2.65,-0.182,-0.11%,-1.28
2019-04-02,SFG,LAD,"L,5-6",2,1.0,0,0,0,0,1,0,0,0.00,3,12,7,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.51
2019-04-05,SFG,TBR,"L,2-5",2,0.2,1,1,1,0,0,0,0,4.50,3,20,14,2,2,1,2,1,0,0,,2,0,0,0,0,3,1,0,0,0,0,0,.43,0.011,0.01%,0.29
2019-04-06,SFG,TBR,"W,6-4",0,0.1,0,0,0,0,0,0,0,3.86,1,5,3,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.12,0.062,0.03%,0.60
2019-04-12,SFG,COL,"W,3-2",5,2.0,0,0,0,0,5,0,0,2.08,6,30,19,10,2,1,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.81,0.273,0.14%,0.99
2019-04-14,SFG,COL,"L,0-4",1,1.0,0,0,0,0,1,0,0,1.69,3,18,13,4,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,0.01%,0.50
2019-04-17,SFG,WSN,"L,6-9",2,1.0,3,4,4,1,0,2,0,7.11,7,25,19,4,2,2,4,1,0,0,,1,1,1,0,0,6,0,0,1,0,0,0,.48,-0.099,-0.05%,-4.04
2019-04-18,SFG,WSN,"L,2-4",0,0.0,1,0,0,1,0,0,0,7.11,2,11,4,2,0,0,1,1,0,0,,0,0,1,0,0,1,1,0,0,0,0,0,.16,-0.017,-0.01%,-1.35
2019-04-27,SFG,NYY,"L,4-6",8,2.0,2,0,0,2,1,0,0,5.40,8,35,17,3,4,2,3,3,0,0,,0,0,0,0,0,6,2,0,0,1,0,0,.04,0.002,0.00%,0.99
2019-04-30,SFG,LAD,"L,3-10",2,0.2,0,0,0,0,0,0,0,5.00,2,3,2,0,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.01,0.000,0.00%,0.91
2019-05-03,SFG,CIN,"W,12-11",2,1.0,2,0,0,0,1,0,0,4.50,5,19,13,4,3,2,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.23,-0.009,0.00%,0.15
2019-05-04,SFG,CIN,"L,2-9",0,1.0,0,0,0,1,1,0,0,4.09,4,18,9,5,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.55
2019-05-06,SFG,CIN,"L,4-12",1,1.0,0,0,0,1,0,0,0,3.75,4,17,10,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.000,0.00%,0.55
2019-05-09,SFG,COL,"L,11-12",2,1.0,0,0,0,0,2,0,0,3.46,3,15,9,3,3,0,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.01%,0.62
2019-05-10,SFG,CIN,"L,0-7",0,1.0,3,3,3,0,0,0,1,5.14,7,24,13,4,1,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.10,-0.013,-0.01%,-2.50
2019-05-14,SFG,TOR,"L,3-7",3,2.0,0,0,0,1,2,0,0,4.50,7,30,16,7,2,1,3,1,1,0,,0,0,0,1,0,6,0,0,0,0,0,1,.14,0.010,0.00%,0.99
2019-05-17,SFG,ARI,"L,0-7",2,1.0,1,0,0,0,1,0,0,4.24,4,19,13,3,1,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.01,0.000,0.00%,0.54
2019-08-09,SFG,PHI,"L,6-9",83,1.0,1,0,0,1,1,0,0,4.00,5,20,12,4,0,2,1,0,1,0,,0,0,1,0,0,4,1,0,1,0,0,0,.17,0.008,0.00%,0.50
2019-08-14,SFG,OAK,"L,5-9",4,1.0,2,2,2,0,1,1,0,4.74,5,25,18,5,1,1,3,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.26,-0.049,-0.02%,-1.50
2019-08-17,SFG,ARI,"W,11-6",2,0.2,1,2,2,1,1,1,0,5.49,4,18,10,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,-0.004,0.00%,-1.58
