date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-31,WSN,CIN,"W,13-7",99,0.1,0,0,0,0,0,0,0,0.00,1,4,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.01,0.001,0.00%,0.23
2018-04-03,WSN,ATL,"L,6-13",2,1.0,2,2,2,2,0,0,0,13.50,6,18,7,2,1,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,.01,-0.002,0.00%,-1.51
2018-04-04,WSN,ATL,"L,1-7",0,1.0,1,2,1,1,1,0,0,11.57,5,16,8,2,1,0,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.07,-0.009,-0.01%,-1.51
2018-04-12,WSN,COL,"L,1-5",7,2.0,0,0,0,0,1,0,0,6.23,6,19,13,0,1,4,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.13,0.020,0.01%,1.03
2018-04-13,WSN,COL,"L,1-2",0,0.2,0,0,0,0,1,0,0,5.40,2,7,4,1,0,1,0,0,0,0,,2,0,1,0,0,2,0,0,0,0,0,0,1.46,0.091,0.05%,1.20
2018-04-22,WSN,LAD,"L,3-4",8,1.2,1,1,1,0,2,0,1,5.40,6,20,13,5,0,2,1,0,0,0,,2,0,0,1,0,4,0,0,0,0,1,0,2.11,-0.044,-0.02%,0.36
2018-04-23,WSN,SFG,"L,2-4",0,1.0,1,0,0,0,0,0,0,4.70,4,13,9,3,0,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.33,0.020,0.01%,0.45
2018-04-25,WSN,SFG,"W,15-2",1,1.0,1,0,0,0,1,0,0,4.15,4,13,9,4,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,0.001,0.00%,0.45
2018-04-28,WSN,ARI,"L,3-4",2,0.2,0,0,0,0,0,0,0,3.86,2,7,5,1,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.82,0.042,0.02%,0.27
2018-05-02,WSN,PIT,"W,9-3",3,1.0,1,0,0,1,0,0,0,3.48,4,18,9,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.15,0.006,0.00%,0.51
2018-05-04,WSN,PHI,"W,7-3",1,0.1,3,3,3,0,0,2,0,5.91,4,17,10,3,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.17,-0.050,-0.03%,-2.76
2018-05-07,WSN,SDP,"W,8-5",2,1.0,0,0,0,1,2,0,1,5.40,5,21,10,5,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.012,0.01%,0.45
2018-05-09,WSN,SDP,"L,1-2",1,1.0,2,1,1,1,0,0,0,5.68,5,8,7,3,0,2,2,1,0,0,,0,0,1,0,0,4,1,0,1,1,0,0,1.83,-0.179,-0.11%,-0.55
2018-05-13,WSN,ARI,"W,6-4",3,0.2,1,0,0,0,1,0,0,5.40,3,9,7,3,2,1,1,1,0,0,,1,0,1,0,0,3,0,0,0,0,0,0,1.65,0.059,0.04%,0.53
2018-05-19,WSN,LAD,"L,1-4",5,1.0,1,1,1,1,1,0,0,5.65,5,14,8,2,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,.72,-0.050,-0.04%,-0.49
2018-05-23,WSN,SDP,"L,1-3",3,0.2,0,0,0,0,2,0,0,5.40,2,11,7,3,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.24,0.012,0.01%,0.27
2018-05-27,WSN,MIA,"W,5-2",3,0.1,0,0,0,0,0,0,0,5.28,1,6,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.29,0.038,0.03%,0.57
2018-06-10,WSN,SFG,"L,0-2",13,1.0,0,0,0,1,0,0,0,4.96,4,18,10,3,1,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.41,0.018,0.02%,0.51
2018-08-14,WSN,STL,"L,4-6",64,2.0,2,1,1,2,3,1,0,4.91,10,45,26,11,4,2,3,0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.19,-0.005,0.00%,-0.06
2018-08-17,WSN,MIA,"W,8-2",2,0.2,3,2,2,0,0,1,0,5.68,5,17,11,3,1,2,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.45,-0.047,-0.01%,-1.72
2019-03-29,SFG,SDP,"L,1-4",99,1.2,3,1,1,2,2,0,0,5.40,9,43,27,4,6,1,4,1,0,0,,0,0,0,0,0,6,1,0,0,0,1,0,.32,-0.032,-0.02%,-0.43
2019-04-01,SFG,LAD,"W,4-2",2,1.0,0,0,0,0,0,0,0,3.38,3,11,8,4,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.63,0.048,0.03%,0.51
2019-04-05,SFG,TBR,"L,2-5",3,1.0,0,0,0,0,2,0,0,2.45,3,11,8,3,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.50
2019-04-07,SFG,TBR,"L,0-3",1,2.0,1,0,0,0,3,0,0,1.59,7,24,19,3,4,2,2,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.78,0.103,0.05%,1.38
2019-04-09,SFG,SDP,"W,7-2",1,1.0,2,1,1,0,0,0,0,2.70,5,23,15,4,1,1,4,2,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,.17,0.003,0.00%,-0.50
2019-04-12,SFG,COL,"W,3-2",2,2.0,0,0,0,0,3,0,0,2.08,6,19,16,6,6,0,3,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.81,0.273,0.14%,0.99
2019-04-14,SFG,COL,"L,0-4",1,1.0,0,0,0,0,1,0,0,1.86,3,12,9,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,0.00%,0.50
2019-04-17,SFG,WSN,"L,6-9",2,1.0,1,1,1,1,0,0,1,2.53,6,14,8,2,1,3,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.72,0.017,0.01%,0.16
2019-04-18,SFG,WSN,"L,2-4",0,0.1,0,0,0,0,0,0,0,2.45,1,2,1,0,0,0,1,0,1,0,,3,0,0,0,0,1,0,0,0,0,0,0,.77,0.020,0.01%,0.82
2019-04-24,SFG,TOR,"W,4-0",5,2.0,0,0,0,0,3,0,0,2.08,6,31,20,8,5,1,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.33,0.052,0.02%,1.07
2019-04-27,SFG,NYY,"L,4-6",2,2.0,0,0,0,0,1,0,0,1.80,6,21,14,3,1,3,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.06,0.008,0.00%,0.99
2019-04-30,SFG,LAD,"L,3-10",2,1.0,0,0,0,0,2,0,0,1.69,3,12,7,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.51,0.039,0.02%,0.50
2019-05-05,SFG,CIN,"W,6-5",4,1.0,0,0,0,1,0,0,0,1.59,4,24,14,2,2,2,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,1.22,0.078,0.03%,0.55
2019-05-07,SFG,COL,"W,14-4",1,1.0,2,1,1,0,1,0,0,2.00,5,20,13,6,0,2,2,1,0,0,,0,0,0,0,0,5,1,1,0,0,0,0,.17,0.007,0.00%,-0.38
2019-05-09,SFG,COL,"L,11-12",1,0.1,0,0,0,0,0,0,0,1.96,1,5,3,0,1,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.42,0.012,0.01%,0.42
2019-05-11,SFG,CIN,"L,4-5",1,1.0,2,1,1,0,1,1,0,2.33,5,18,14,5,2,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.52,-0.075,-0.02%,-0.50
2019-05-14,SFG,TOR,"L,3-7",2,0.2,0,0,0,0,0,0,0,2.25,2,4,2,0,0,1,1,0,1,0,,3,0,0,0,0,2,0,0,0,0,0,0,2.05,0.112,0.04%,1.57
2019-05-19,SFG,ARI,"W,3-2",4,1.1,0,0,0,0,2,0,0,2.11,4,18,12,2,5,0,2,1,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.03,0.109,0.04%,0.78
2019-05-21,SFG,ATL,"W,4-3",1,1.0,1,0,0,0,1,0,0,2.01,3,14,9,5,0,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.28,0.017,0.01%,0.50
2019-05-23,SFG,ATL,"L,4-5",1,1.0,0,0,0,0,2,0,0,1.93,3,16,9,4,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.137,0.04%,0.50
2019-05-24,SFG,ARI,"L,2-18",0,0.2,2,3,3,2,1,0,0,3.00,6,33,18,5,2,3,0,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.82,-0.073,-0.02%,-1.64
2019-06-05,SFG,NYM,"L,0-7",11,1.0,1,0,0,0,2,0,0,2.88,4,15,11,2,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.003,0.00%,0.49
2019-06-08,SFG,LAD,"L,2-7",2,1.2,0,0,0,0,2,0,0,2.70,5,22,13,3,3,1,2,0,0,0,,3,1,0,0,0,4,0,0,0,0,1,0,1.57,0.087,0.01%,1.07
2019-06-11,SFG,SDP,"W,6-5",2,1.1,1,0,0,1,1,0,0,2.57,6,23,14,4,3,1,3,2,1,0,,3,2,0,0,0,5,0,0,0,0,0,0,1.67,-0.140,-0.01%,-0.74
2019-06-15,SFG,MIL,"W,8-7",3,1.0,1,1,1,1,1,0,0,2.79,5,23,16,4,2,0,3,1,1,0,,0,0,1,0,0,3,0,0,0,0,1,0,1.86,-0.141,-0.02%,-0.50
2019-06-18,SFG,LAD,"L,0-9",2,0.2,4,4,4,1,0,1,0,3.94,7,15,9,2,0,3,3,2,0,0,,2,2,0,0,0,6,0,0,0,0,0,0,.12,-0.040,-0.01%,-4.81
2019-06-20,SFG,LAD,"L,8-9",1,0.1,0,0,0,0,1,0,0,3.90,1,3,3,1,1,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.32,0.008,0.00%,0.78
2019-06-22,SFG,ARI,"W,7-4",1,1.0,1,0,0,0,2,0,0,3.77,4,19,15,3,2,0,2,1,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,2.21,0.166,0.02%,1.17
2019-06-24,SFG,COL,"L,0-2",1,1.0,0,0,0,0,1,0,0,3.66,3,11,9,2,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.017,0.00%,0.50
2019-06-27,SFG,ARI,"L,1-5",2,1.0,1,2,2,1,0,1,0,4.09,5,21,14,4,2,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.66,-0.181,-0.02%,-1.50
2019-06-30,SFG,ARI,"W,10-4",2,1.1,0,0,0,1,2,0,0,3.93,5,25,16,4,2,1,1,0,1,0,,2,0,0,0,0,4,0,0,0,0,0,0,.06,0.007,0.00%,0.93
