date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-08-07,SDP,MIL,"W,11-5",99,1.0,0,0,0,0,1,0,0,0.00,3,12,9,3,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.49
2018-08-08,SDP,MIL,"L,4-8",0,1.0,0,0,0,0,2,0,0,0.00,3,8,7,1,3,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.49
2018-08-11,SDP,PHI,"L,1-5",2,1.0,0,0,0,1,2,0,0,0.00,4,17,9,2,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,0.00%,0.45
2018-08-14,SDP,LAA,"L,3-7",2,1.0,0,1,1,2,0,0,0,2.25,5,22,11,3,3,1,2,0,1,0,,0,0,2,0,0,2,0,0,0,0,1,0,.11,-0.014,0.00%,-0.55
2018-08-16,SDP,ARI,"L,1-5",1,1.1,1,0,0,0,3,0,0,1.69,5,15,12,8,1,0,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.11,0.009,0.00%,0.42
2018-08-19,SDP,ARI,"L,3-4",2,1.0,2,1,1,0,0,1,0,2.84,5,13,10,1,2,1,4,0,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.54,-0.162,0.00%,-0.55
2018-08-23,SDP,COL,"L,3-4",3,1.0,0,0,0,0,1,0,0,2.45,3,12,7,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.44,0.114,0.00%,0.57
2018-08-25,SDP,LAD,"L,4-5",1,1.0,2,0,0,0,2,0,0,2.16,5,13,12,2,3,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.75,0.029,0.00%,0.47
2018-08-29,SDP,SEA,"W,8-3",3,0.1,0,0,0,0,0,0,0,2.08,1,10,7,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.17,0.004,0.00%,0.57
2018-08-30,SDP,COL,"W,3-2",0,1.0,1,1,1,1,1,0,0,2.79,5,17,12,2,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.26,-0.103,0.00%,-0.55
2018-09-02,SDP,COL,"L,3-7",2,1.0,2,1,1,0,0,0,0,3.38,5,17,12,1,3,2,3,2,0,0,,2,2,2,0,0,5,1,0,0,0,0,0,1.14,-0.243,0.00%,-1.58
