date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,SFG,LAD,"W,1-0",99,5.0,3,0,0,3,3,0,0,0.00,19,81,48,21,2,9,4,3,0,0,61,,,1,0,0,16,0,0,0,2,0,0,1.15,0.282,0.19%,2.37
2018-04-03,SFG,SEA,"L,4-6",4,4.1,10,6,6,2,2,0,0,5.79,23,86,56,18,4,12,7,3,0,0,19,,,0,0,0,20,2,0,0,1,0,0,.68,-0.341,-0.19%,-3.61
2018-04-08,SFG,LAD,"L,1-2",4,6.0,4,1,1,3,1,0,0,4.11,23,81,47,14,3,7,12,8,1,0,58,,,0,0,0,20,0,0,0,2,0,0,1.22,0.159,0.11%,1.70
2018-04-13,SFG,SDP,"L,1-5",4,5.0,7,4,3,1,3,0,0,4.43,24,81,55,17,7,13,7,5,0,0,41,,,0,0,0,23,2,0,0,0,0,1,1.20,-0.135,-0.08%,-2.12
2018-04-19,SFG,ARI,"L,1-3",5,6.0,6,2,2,3,4,1,0,4.10,27,92,59,15,8,12,8,3,0,0,53,,,0,0,0,23,1,0,0,0,0,0,1.00,0.047,0.03%,1.05
2018-04-24,SFG,WSN,"W,4-3",4,5.0,4,3,3,2,3,1,0,4.31,21,79,47,14,5,11,5,3,1,0,48,,,0,0,0,18,0,0,0,0,0,0,1.01,-0.061,-0.03%,-0.75
2018-04-29,SFG,LAD,"W,4-2",4,6.0,6,2,2,1,4,0,0,4.10,24,87,56,23,8,10,9,5,0,0,55,,,0,0,0,23,2,0,0,0,0,0,.69,0.138,0.07%,1.33
2018-05-05,SFG,ATL,"W,11-2",5,7.2,7,2,1,0,2,0,0,3.60,31,100,71,17,6,17,12,6,1,0,61,,,0,0,0,31,2,0,0,1,0,2,.45,0.006,0.00%,1.41
2018-05-10,SFG,PHI,"L,3-6",4,4.1,7,5,5,1,3,1,0,4.20,20,83,50,14,6,9,7,3,0,0,31,,,0,0,0,19,1,0,0,1,0,0,1.10,-0.323,-0.19%,-2.44
2018-05-15,SFG,CIN,"W,5-3",4,4.0,5,3,1,1,1,1,1,4.05,18,62,38,13,3,12,3,1,0,0,44,,,0,1,1,15,0,0,0,1,0,1,.77,-0.160,-0.09%,-1.20
2018-05-20,SFG,COL,"W,9-5",4,4.1,8,4,4,2,1,0,0,4.37,21,76,49,14,9,6,12,7,2,0,30,,,0,0,0,19,2,0,0,1,0,0,1.28,-0.171,-0.12%,-1.26
2018-05-27,SFG,CHC,"L,3-8",6,3.0,7,5,5,4,3,0,0,4.90,19,73,41,17,4,5,7,4,0,0,24,,,0,0,0,15,2,0,0,1,0,0,1.50,-0.295,-0.17%,-2.98
2018-05-29,SFG,COL,"L,4-11",1,1.0,2,1,1,0,1,0,0,4.96,6,19,13,4,0,3,2,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,1,.01,-0.001,0.00%,-0.43
2018-06-04,SFG,ARI,"W,10-3",5,1.0,1,0,0,0,0,0,0,4.88,3,8,5,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.02,0.001,0.00%,0.45
2018-06-06,SFG,ARI,"W,5-4",1,2.0,1,0,0,0,2,0,0,4.73,6,17,13,7,2,2,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.32,0.038,0.03%,0.90
2018-06-09,SFG,WSN,"L,5-7",2,3.1,2,1,1,2,2,1,0,4.63,14,49,26,10,4,3,7,2,0,0,,1,0,0,0,0,12,0,0,0,0,0,0,.75,0.014,0.01%,0.77
2018-06-14,SFG,MIA,"W,6-3",4,6.2,7,0,0,2,3,0,0,4.22,26,83,59,15,11,13,8,7,0,0,,0,0,0,1,0,24,1,0,1,2,0,0,2.19,0.756,0.39%,2.61
2018-06-19,SFG,MIA,"W,6-3",4,1.0,1,0,0,0,2,0,0,4.16,4,16,11,1,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.61,0.043,0.02%,0.45
2018-06-20,SFG,MIA,"W,6-5",0,1.0,0,0,0,0,0,0,0,4.11,3,15,10,3,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.92,0.068,0.04%,0.45
2018-06-22,SFG,SDP,"L,2-6",1,1.0,1,0,0,0,1,0,0,4.06,4,18,11,2,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.43,0.030,0.02%,0.45
2018-06-24,SFG,SDP,"W,3-2",1,0.1,1,0,0,0,0,0,0,4.04,2,6,4,0,0,0,2,1,1,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.47,-0.329,-0.20%,-0.66
2018-06-28,SFG,COL,"L,8-9",3,2.1,3,2,2,0,0,0,0,4.15,10,30,19,3,1,4,6,4,1,0,,0,0,0,0,0,10,1,0,0,0,0,0,1.26,-0.200,-0.15%,-1.13
2018-06-30,SFG,ARI,"W,7-0",1,1.2,0,0,0,0,2,0,0,4.06,5,21,16,7,3,1,2,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.12,0.016,0.01%,1.04
2018-07-02,SFG,COL,"L,2-5",1,0.0,3,2,2,0,0,0,0,4.28,3,12,7,0,0,2,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.69,-0.112,-0.11%,-2.50
2018-07-05,SFG,STL,"L,2-11",2,0.2,4,4,4,1,1,0,0,4.68,7,35,20,5,2,4,1,0,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.15,-0.035,-0.03%,-3.85
2018-07-08,SFG,STL,"W,13-8",2,1.0,1,0,0,0,2,0,0,4.63,4,13,9,3,1,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.005,0.00%,0.45
2018-07-09,SFG,CHC,"W,2-1",0,1.0,0,0,0,0,0,0,0,4.57,3,17,12,3,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.73,0.127,0.09%,0.45
2018-07-11,SFG,CHC,"W,5-4",1,0.2,2,0,0,0,1,0,0,4.54,4,19,13,3,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.12,0.007,0.01%,0.04
2018-07-14,SFG,OAK,"L,3-4",2,1.0,1,0,0,0,2,0,0,4.48,4,16,11,4,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.74,0.032,0.02%,0.45
2018-07-22,SFG,OAK,"L,5-6",7,0.2,1,1,0,2,0,0,0,4.45,5,19,10,2,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,1,0,0,0,3.46,-0.364,-0.21%,-0.94
2018-07-28,SFG,MIL,"L,1-7",5,3.1,5,3,2,1,2,1,0,4.48,16,54,35,14,1,10,3,3,0,0,,0,0,0,1,0,14,0,0,0,0,0,1,.12,-0.047,-0.02%,-1.06
2018-08-02,SFG,ARI,"W,8-1",4,2.0,2,0,0,0,1,0,0,4.39,8,45,29,8,1,4,3,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.05,0.005,0.00%,1.02
2018-08-03,SFG,ARI,"L,3-6",0,2.1,1,0,0,1,0,0,0,4.28,8,29,15,4,1,3,4,3,1,0,,3,0,0,0,0,7,0,0,0,1,0,0,.48,0.101,0.06%,2.45
2018-08-11,SFG,PIT,"L,0-4",7,4.0,4,4,4,2,5,1,0,4.47,17,67,42,14,7,8,2,1,0,0,41,,,0,0,0,13,0,0,0,1,1,0,1.12,-0.225,-0.06%,-2.20
2018-08-15,SFG,LAD,"L,3-4",3,2.0,1,0,0,2,4,0,0,4.38,9,35,21,9,4,0,3,2,1,0,,0,0,1,0,0,7,0,0,1,0,0,0,2.23,0.235,0.11%,0.95
2018-08-18,SFG,CIN,"L,1-7",2,1.0,1,0,0,0,0,0,0,4.34,3,8,5,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.01,0.000,0.00%,0.49
2018-08-19,SFG,CIN,"L,4-11",0,2.2,6,2,2,1,1,1,0,4.40,14,53,31,5,4,4,8,6,1,0,,2,0,0,0,0,13,2,1,0,1,0,0,.10,0.006,0.00%,-1.42
2018-08-24,SFG,TEX,"L,6-7",4,0.1,0,0,0,0,0,0,0,4.39,1,3,3,2,0,0,1,1,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,1.83,0.044,0.00%,0.73
2018-08-29,SFG,ARI,"L,1-3",4,1.0,0,0,0,0,1,0,0,4.34,3,10,7,2,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.014,0.00%,0.45
