date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2016-05-24,TBR,MIA,"W,4-3",99,0.2,0,0,0,0,1,0,0,0.00,2,6,5,1,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.81,0.091,0.04%,0.49
2016-05-25,TBR,MIA,"L,3-4",0,0.1,3,1,1,0,0,0,0,9.00,4,12,9,0,1,4,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.12,-0.322,-0.15%,-1.69
2016-05-27,TBR,NYY,"L,1-4",1,1.0,0,0,0,0,1,0,0,4.50,3,7,5,1,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.48
2016-05-31,TBR,KCR,"L,5-10",3,1.0,2,0,0,0,0,0,0,3.00,4,10,9,2,1,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,.22,0.014,0.01%,0.52
2016-06-01,TBR,KCR,"L,3-6",0,1.0,0,0,0,0,2,0,0,2.25,3,10,8,4,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.00%,0.52
2016-06-04,TBR,MIN,"W,7-4",2,1.2,2,1,1,2,1,0,0,3.18,8,35,20,5,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.31,0.033,0.01%,0.57
2016-06-06,TBR,ARI,"W,6-4",1,0.2,1,1,1,0,1,0,1,4.26,4,20,13,3,4,0,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.36,0.006,0.00%,0.08
2016-06-11,TBR,HOU,"L,3-4",4,1.0,0,0,0,1,0,0,0,3.68,4,20,15,2,2,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.22,0.016,0.01%,0.48
2016-06-12,TBR,HOU,"W,5-0",0,1.2,0,0,0,0,0,0,0,3.00,5,14,9,3,0,0,5,4,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.14,0.017,0.01%,0.99
2016-06-16,TBR,SEA,"L,4-6",3,3.0,3,1,1,0,3,1,0,3.00,10,32,23,6,5,1,6,2,1,0,,0,0,0,1,0,9,1,0,0,0,0,0,.52,-0.012,-0.01%,0.45
2016-06-19,TBR,SFG,"L,1-5",2,0.2,2,1,1,0,0,0,0,3.55,4,14,10,3,0,1,3,2,1,0,,2,2,0,0,0,4,1,0,0,0,0,0,1.01,-0.173,-0.05%,-2.11
2016-06-20,TBR,CLE,"L,4-7",0,0.1,0,0,0,0,0,0,0,3.46,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,0.00%,0.12
2016-06-25,TBR,BAL,"L,0-5",4,2.0,5,3,3,2,3,0,0,4.80,13,37,22,4,6,1,7,5,2,0,,1,0,0,0,0,11,1,0,1,0,0,0,.56,-0.036,-0.01%,-0.51
2016-07-05,TBR,LAA,"L,5-13",9,1.2,0,0,0,0,0,0,0,4.32,5,16,10,3,2,2,3,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.80,0.095,0.00%,1.37
2016-07-06,TBR,LAA,"L,2-7",0,1.0,0,0,0,1,0,0,0,4.08,3,13,5,3,0,1,1,0,0,0,,3,0,0,0,0,2,0,0,0,1,0,0,.20,0.014,0.00%,2.31
2016-08-25,TBR,BOS,"W,2-1",49,0.2,0,0,0,0,2,0,0,3.93,2,12,9,2,3,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.46,0.123,0.00%,0.38
