date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2015-05-25,MIA,PIT,"L,2-4",99,2.0,2,0,0,0,2,0,0,0.00,7,27,16,2,5,2,3,0,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.26,0.033,0.01%,0.92
2015-05-27,MIA,PIT,"L,2-5",1,1.0,1,0,0,0,1,0,0,0.00,4,17,12,2,3,0,3,1,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.10,0.005,0.00%,0.46
2015-05-30,MIA,NYM,"W,9-5",2,1.2,0,0,0,0,0,0,0,0.00,5,20,15,4,0,1,4,2,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,1.41,0.167,0.04%,1.31
2015-06-01,MIA,CHC,"L,1-5",1,1.0,1,1,1,1,0,0,0,1.59,5,18,9,2,0,0,4,3,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.43,-0.058,-0.01%,-0.56
2015-06-05,MIA,COL,"W,6-2",3,1.0,4,1,0,0,0,0,0,1.35,7,23,17,4,1,4,3,2,0,0,,0,0,0,0,0,6,0,0,0,0,1,0,.56,-0.065,-0.02%,-1.47
2015-06-08,MIA,TOR,"L,3-11",2,1.2,3,3,3,3,0,0,0,4.32,11,37,18,4,1,2,6,3,1,0,,0,0,0,0,0,8,2,0,0,0,0,0,.07,-0.007,0.00%,-2.50
2015-06-14,MIA,COL,"L,1-4",5,0.1,1,1,1,2,0,0,0,5.19,4,19,7,1,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,1,0,0,0,.44,-0.032,-0.01%,-1.06
2015-06-18,MIA,NYY,"L,4-9",3,0.2,1,0,0,0,0,0,0,4.82,3,10,5,1,0,1,2,2,0,0,,1,1,0,0,0,2,0,0,0,0,1,0,.01,-0.002,0.00%,-0.33
2015-06-19,MIA,CIN,"L,0-5",0,1.0,1,0,0,0,2,0,0,4.35,4,12,8,0,4,1,1,1,0,0,,1,1,1,0,0,4,1,0,0,0,0,0,.06,-0.002,0.00%,0.08
2015-06-24,MIA,STL,"L,1-6",4,1.2,1,0,0,0,1,0,0,3.75,5,17,10,1,1,2,2,1,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.08,0.008,0.00%,1.34
