date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2019-03-28,ATL,PHI,"L,4-10",99,0.1,0,0,0,0,1,0,0,0.00,1,6,4,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.06,0.002,0.00%,0.11
2019-03-30,ATL,PHI,"L,6-8",1,1.1,1,2,2,1,2,1,0,10.80,6,24,15,6,4,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.80,-0.185,-0.12%,-1.29
2019-04-01,ATL,CHC,"W,8-0",1,1.0,0,0,0,0,0,0,0,6.75,3,13,9,4,0,3,0,0,0,0,,1,0,0,0,0,3,0,0,0,1,0,1,.47,0.049,0.02%,0.95
2019-04-03,ATL,CHC,"W,6-4",1,0.2,0,0,0,0,1,0,0,5.40,2,10,6,3,0,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.11,0.132,0.07%,1.24
2019-04-06,ATL,MIA,"L,2-4",2,1.0,1,0,0,0,1,0,0,4.15,4,17,10,3,2,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.25,0.092,0.06%,0.56
2019-04-07,ATL,MIA,"W,4-3",0,1.0,0,0,0,0,1,0,0,3.38,2,8,6,1,2,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,1,0,0,4.31,0.336,0.21%,1.57
2019-04-11,ATL,NYM,"L,3-6",3,0.1,1,0,0,1,0,0,0,3.18,3,9,5,3,0,1,1,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.85,-0.076,-0.06%,-0.47
2019-04-12,ATL,NYM,"L,2-6",0,1.0,0,0,0,0,1,0,0,2.70,3,11,7,1,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.015,0.01%,0.56
2019-04-17,ATL,ARI,"L,2-3",4,1.0,1,0,0,0,2,0,0,2.35,4,16,11,3,2,1,1,0,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.77,0.113,0.07%,0.56
2019-04-20,ATL,CLE,"L,4-8",2,0.0,3,3,2,2,0,0,0,4.70,5,18,7,1,2,0,3,3,0,0,,1,1,1,0,0,3,0,0,0,0,0,0,.73,-0.192,-0.11%,-4.29
2019-04-23,ATL,CIN,"L,6-7",2,0.2,0,0,0,1,1,0,0,4.32,3,10,5,2,1,0,1,0,0,0,,3,1,0,0,0,1,0,0,0,0,1,0,1.03,0.006,0.00%,0.62
2019-04-25,ATL,CIN,"L,2-4",1,2.0,0,1,1,3,0,0,0,4.35,7,45,26,3,0,2,2,1,0,0,,0,0,0,0,0,3,0,0,0,1,1,0,.59,-0.043,-0.03%,0.09
2019-05-14,ATL,STL,"L,3-14",18,3.0,1,0,0,2,2,0,0,3.38,10,43,25,6,3,3,3,1,0,0,,0,0,0,0,0,8,0,0,0,2,0,0,.03,0.004,0.00%,1.67
2019-05-17,ATL,MIL,"W,12-8",2,0.0,1,0,0,1,0,0,0,3.38,2,8,3,1,1,0,1,1,0,0,,2,2,0,0,0,1,0,0,0,0,0,0,.14,-0.011,-0.01%,-2.00
2019-05-19,ATL,MIL,"L,2-3",1,1.0,2,1,1,0,0,1,0,3.77,4,11,6,1,1,0,4,2,1,0,,0,0,0,1,0,4,0,0,0,0,0,0,1.03,-0.281,-0.21%,-0.44
2019-07-20,ATL,WSN,"L,3-5",61,0.2,0,0,0,0,0,0,0,3.60,1,6,3,1,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,.84,0.053,0.04%,1.64
