date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-30,PHI,ATL,"W,5-4",99,0.2,1,0,0,0,1,0,0,0.00,3,8,7,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.39,0.058,0.04%,0.26
2018-03-31,PHI,ATL,"L,2-15",0,1.0,2,1,1,1,0,0,0,5.40,6,20,13,2,1,4,1,1,0,0,,2,2,0,0,0,5,1,0,0,0,0,0,.00,-0.001,0.00%,-1.17
2018-04-03,PHI,NYM,"L,0-2",2,0.1,0,0,0,0,0,0,0,4.50,1,6,3,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.56,0.012,0.01%,0.21
2018-04-09,PHI,CIN,"W,6-5",5,0.2,0,0,0,1,1,0,0,3.38,3,16,9,2,2,0,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.67,0.148,0.08%,0.90
2018-04-11,PHI,CIN,"W,4-3",1,0.1,0,0,0,0,1,0,0,3.00,1,4,3,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.31,0.033,0.02%,0.10
2018-04-15,PHI,TBR,"W,10-4",3,1.1,2,0,0,0,1,0,2,2.08,8,21,13,5,1,1,4,2,2,0,,0,0,2,0,0,6,1,0,0,0,0,0,1.69,0.014,0.01%,0.16
2018-04-17,PHI,ATL,"W,5-1",1,0.2,1,0,0,1,0,0,0,1.80,4,15,8,2,2,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.34,-0.041,-0.03%,-0.31
2018-04-19,PHI,PIT,"W,7-0",1,1.0,1,0,0,0,2,0,0,1.50,4,16,11,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.003,0.00%,0.49
2018-04-22,PHI,PIT,"W,3-2",2,1.0,1,0,0,0,1,0,0,1.29,5,16,12,1,3,3,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,1,3.52,0.136,0.10%,0.49
2018-04-24,PHI,ARI,"L,4-8",1,1.1,3,3,3,1,1,1,0,4.32,7,34,19,5,0,3,2,0,0,0,,0,0,2,0,0,6,0,0,0,1,0,0,.85,-0.158,-0.11%,-2.27
