date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-04-01,TBR,BOS,"L,1-2",99,4.0,1,0,0,1,3,0,2,0.00,15,56,38,9,8,3,6,2,0,0,,1,1,0,0,0,12,0,0,0,0,0,0,1.26,0.087,0.05%,1.37
2018-04-05,TBR,BOS,"L,2-3",3,5.0,3,0,0,0,4,0,0,0.00,17,54,38,9,6,8,5,2,1,0,65,,,0,0,0,17,0,1,0,0,0,0,.92,0.287,0.15%,2.66
2018-04-11,TBR,CHW,"L,1-2",5,5.1,4,0,0,1,5,0,1,0.00,21,75,49,11,6,7,7,4,1,0,64,,,0,0,1,19,1,0,0,0,0,0,1.25,0.204,0.08%,2.06
2018-04-17,TBR,TEX,"L,2-7",5,5.2,7,6,6,3,3,1,0,2.70,28,89,56,13,9,8,14,9,0,0,31,,,0,0,0,22,2,0,0,0,3,1,1.04,-0.294,-0.08%,-3.13
2018-04-22,TBR,MIN,"W,8-6",4,4.2,4,2,2,2,6,1,0,2.92,20,83,55,18,8,4,8,3,1,0,52,,,0,0,0,18,0,0,0,0,0,0,1.02,0.038,0.01%,0.25
2018-04-28,TBR,BOS,"W,12-6",5,2.0,6,3,3,2,3,0,1,3.71,14,53,31,7,5,4,4,2,0,0,33,,,0,0,0,10,1,0,0,1,1,0,1.58,-0.408,-0.21%,-3.78
2018-07-24,TBR,NYY,"L,0-4",86,6.2,6,3,3,1,6,0,1,3.78,27,87,60,13,16,9,10,6,1,0,55,,,0,0,0,24,1,0,1,1,1,0,.95,-0.029,0.00%,-0.03
2018-07-29,TBR,BAL,"L,5-11",4,3.0,6,4,3,2,3,1,0,4.21,17,57,31,5,7,7,5,3,1,0,34,,,1,0,0,15,1,0,0,1,0,1,.87,-0.257,-0.02%,-2.50
2018-08-04,TBR,CHW,"L,1-2",5,5.0,2,1,0,2,6,0,0,3.70,18,59,44,7,9,5,5,0,1,0,,0,0,0,0,0,16,1,0,1,1,0,0,1.35,0.033,0.00%,1.48
2018-08-09,TBR,BAL,"W,5-4",4,5.0,3,1,1,0,4,1,0,3.50,17,63,45,11,10,5,8,4,1,0,,0,0,0,0,0,17,0,0,0,1,0,0,.70,0.033,0.00%,1.48
