date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-03-29,OAK,LAA,"W,6-5",99,2.0,1,0,0,0,1,0,0,0.00,7,25,18,3,2,2,4,1,2,0,,0,0,0,0,0,7,1,0,0,0,0,0,1.24,0.161,0.10%,0.99
2018-03-30,OAK,LAA,"L,1-2",0,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.87,0.024,0.02%,0.23
2018-04-01,OAK,LAA,"L,4-7",1,1.0,1,0,0,0,0,0,0,0.00,4,13,7,1,1,1,3,2,0,0,,2,2,0,0,0,3,1,0,0,0,1,0,2.24,-0.098,-0.06%,-0.51
2018-04-04,OAK,TEX,"W,6-2",2,1.0,1,1,1,0,0,1,0,2.08,4,9,6,1,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.006,0.00%,-0.51
2018-04-06,OAK,LAA,"L,9-13",1,1.0,5,2,2,0,1,0,0,5.06,8,18,14,3,1,4,3,3,0,0,,1,1,0,0,0,8,0,0,0,0,0,0,1.89,-0.274,-0.15%,-2.39
2018-04-08,OAK,LAA,"L,1-6",1,1.0,0,0,0,0,1,0,0,4.26,3,10,6,1,0,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.003,0.00%,0.50
2018-04-11,OAK,LAD,"W,16-6",2,2.0,1,0,0,0,0,0,0,3.24,7,25,18,4,2,4,3,1,0,0,,2,2,0,0,0,7,0,0,0,0,0,0,.44,0.025,0.01%,0.29
2018-04-13,OAK,SEA,"L,4-7",1,0.2,1,1,1,0,0,0,0,4.00,3,9,7,1,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.41,0.055,0.03%,0.26
2018-04-14,OAK,SEA,"L,8-10",0,2.0,3,0,0,0,2,0,0,3.27,10,29,19,6,4,4,4,2,1,0,,0,0,1,0,0,10,0,0,0,0,0,1,.26,0.025,0.01%,0.96
2018-04-16,OAK,CHW,"W,8-1",1,1.0,0,0,0,0,2,0,0,3.00,3,13,8,5,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.00%,0.50
2018-04-22,OAK,BOS,"W,4-1",5,0.2,0,0,0,0,1,0,0,2.84,2,4,4,2,1,0,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,3.05,0.237,0.11%,1.40
2018-04-23,OAK,TEX,"W,9-4",0,1.2,1,0,0,0,0,0,0,2.51,5,17,12,3,1,2,3,1,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,1.57,0.178,0.10%,1.01
2018-04-29,OAK,HOU,"L,4-8",5,0.1,1,2,1,0,1,0,0,3.07,3,8,5,2,1,0,2,1,1,0,,1,1,1,0,0,3,1,0,0,0,0,1,2.00,-0.254,-0.17%,-1.79
2018-05-01,OAK,SEA,"L,3-6",1,1.0,1,0,0,0,1,0,0,2.87,4,17,13,3,1,3,0,0,0,0,,1,1,1,0,0,4,0,0,0,0,0,0,.35,-0.018,-0.01%,-0.14
2018-05-04,OAK,BAL,"W,6-4",2,0.1,5,3,3,0,1,0,0,4.50,6,18,11,2,3,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.36,-0.423,-0.21%,-3.41
2018-05-05,OAK,BAL,"W,2-0",0,2.0,1,0,0,3,4,0,0,4.00,10,42,27,9,5,1,2,1,1,0,,0,0,0,0,0,7,1,0,1,0,0,0,2.23,0.193,0.10%,0.99
2018-05-09,OAK,HOU,"L,1-4",3,1.1,3,2,2,0,1,0,0,4.66,6,24,13,3,1,2,3,2,0,0,,0,0,1,1,0,6,1,0,0,0,0,0,.73,-0.155,-0.09%,-1.40
2018-05-11,OAK,NYY,"W,10-5",1,1.1,1,0,0,0,0,0,0,4.35,5,16,10,3,0,2,3,0,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,3.29,0.355,0.17%,1.86
2018-05-12,OAK,NYY,"L,6-7",0,2.0,1,0,0,0,1,0,0,3.97,7,18,14,3,4,1,5,1,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,2.09,0.197,0.10%,1.02
2018-05-14,OAK,BOS,"W,6-5",1,2.0,1,1,1,0,0,1,0,4.01,7,18,13,5,1,2,5,2,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,2.18,0.189,0.09%,0.45
2018-05-17,OAK,TOR,"W,10-5",2,2.2,1,0,0,1,1,0,0,3.62,10,29,18,5,2,3,5,2,1,0,,2,2,0,0,0,8,0,0,0,0,1,0,.70,0.035,0.02%,0.41
2018-05-18,OAK,TOR,"W,3-1",0,0.2,1,0,0,1,0,0,0,3.54,4,13,7,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.006,0.00%,0.06
2018-05-22,OAK,SEA,"L,2-3",3,1.0,2,1,1,0,1,0,0,3.72,5,16,12,4,2,2,2,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.80,-0.302,-0.22%,-0.51
2018-05-24,OAK,SEA,"W,4-3",1,3.0,2,0,0,0,4,0,0,3.38,10,32,23,3,6,4,2,2,0,0,,0,0,0,0,0,10,0,0,0,1,0,0,1.10,0.195,0.12%,1.49
2018-05-27,OAK,ARI,"W,2-1",2,1.0,0,0,0,0,1,0,0,3.27,3,9,7,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.095,0.05%,0.50
2018-05-28,OAK,TBR,"L,0-1",0,1.0,0,0,0,0,0,0,0,3.18,3,10,6,2,0,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.80,0.136,0.08%,0.50
2018-06-02,OAK,KCR,"L,4-5",4,2.0,1,1,1,0,1,1,0,3.25,7,21,16,3,4,1,5,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.81,-0.183,-0.09%,0.02
2018-06-03,OAK,KCR,"W,5-1",0,1.0,1,0,0,0,1,0,0,3.16,4,16,12,3,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.77,0.029,0.01%,0.51
