date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2021-04-03,MIA,TBR,"W,12-7",99,1.0,0,0,0,0,0,0,0,0.00,3,7,6,2,1,0,3,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.075,0.04%,0.50
2021-04-07,MIA,STL,"L,0-7",3,0.1,1,4,4,2,1,1,1,27.00,5,27,13,2,4,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.25,-0.032,-0.02%,-3.76
2021-04-13,MIA,ATL,"W,14-8",5,1.0,0,0,0,1,0,0,0,15.43,4,19,11,1,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.002,0.00%,0.55
2021-04-15,MIA,ATL,"L,6-7",1,1.0,2,3,3,0,1,1,1,18.90,6,19,12,3,5,3,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.10,-0.401,-0.25%,-2.45
2021-04-17,MIA,SFG,"W,7-6",1,1.0,0,0,0,0,3,0,0,14.54,3,14,9,2,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.017,0.01%,0.50
2021-04-22,MIA,SFG,"L,0-3",4,2.0,0,0,0,0,2,0,0,9.95,6,22,12,3,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.19,0.030,0.02%,1.00
2021-04-25,MIA,SFG,"L,3-4",2,1.0,0,0,0,0,2,0,1,8.59,4,14,9,5,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.08,0.006,0.00%,0.50
2021-05-02,MIA,WSN,"L,1-3",6,1.2,3,0,0,1,2,0,0,7.00,9,36,25,5,6,2,4,2,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.26,0.012,0.01%,0.21
2021-05-05,MIA,ARI,"W,8-0",2,1.0,0,0,0,1,0,0,0,6.30,4,18,9,4,1,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.50
2021-05-07,MIA,MIL,"W,6-1",1,1.0,0,0,0,0,1,0,0,5.73,3,16,10,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.020,0.01%,0.50
2021-05-08,MIA,MIL,"L,2-6",0,1.0,1,0,0,0,0,0,0,5.25,4,9,6,1,1,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.004,0.00%,0.50
2021-05-14,MIA,LAD,"L,6-9",5,1.2,0,0,0,0,1,0,0,4.61,5,18,12,7,1,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.15,0.020,0.01%,0.78
2021-05-20,MIA,PHI,"W,6-0",5,1.0,0,0,0,0,3,0,0,4.30,3,17,10,3,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,0.00%,0.51
2021-05-21,MIA,NYM,"L,5-6",0,1.0,2,1,1,1,2,0,1,4.60,6,21,12,4,2,0,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.09,-0.068,-0.05%,-0.50
2021-05-24,MIA,PHI,"W,9-6",2,1.0,1,0,0,0,2,0,0,4.32,4,20,15,3,5,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,0.006,0.00%,0.50
2021-06-01,MIA,TOR,"L,1-5",7,1.0,1,1,1,0,0,1,0,4.58,4,16,8,3,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,-0.013,-0.01%,-0.47
2021-06-04,MIA,PIT,"L,2-9",2,1.0,6,5,5,0,3,0,0,6.75,9,38,25,8,5,4,2,1,0,0,,0,0,0,0,0,9,2,0,0,0,0,0,.46,-0.144,-0.06%,-4.50
2021-06-07,MIA,BOS,"L,3-5",2,1.0,5,3,2,0,1,0,0,7.32,8,29,19,4,3,4,3,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.03,-0.204,-0.07%,-2.43
2021-06-13,MIA,ATL,"L,4-6",5,2.0,1,0,0,1,0,0,0,6.65,8,25,18,4,1,5,2,1,0,0,,0,0,0,0,0,7,0,0,1,1,0,1,.55,0.040,0.02%,1.00
2021-06-18,MIA,CHC,"W,10-2",4,2.1,0,0,0,1,1,0,0,6.00,8,39,23,8,3,4,2,0,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.03,0.003,0.00%,1.13
2021-06-24,MIA,WSN,"L,3-7",5,2.0,1,2,1,3,2,0,0,5.88,10,41,21,5,4,2,3,1,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.06,-0.020,0.00%,-1.00
2021-06-27,MIA,WSN,"L,1-5",2,1.0,0,0,0,0,2,0,0,5.67,3,11,7,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.004,0.00%,0.50
2021-06-29,MIA,PHI,"L,3-4",1,1.0,0,0,0,1,1,0,0,5.46,4,15,9,3,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,0.00%,0.51
2021-06-30,MIA,PHI,"W,11-6",0,1.0,1,0,0,0,0,0,0,5.28,3,10,7,0,0,3,0,0,0,0,,2,1,0,0,0,3,0,0,0,1,0,0,1.00,0.007,0.00%,0.50
2021-07-05,MIA,LAD,"W,5-4",4,0.2,1,2,2,3,2,0,0,5.76,6,30,13,2,4,0,1,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,2.57,-0.220,-0.03%,-1.16
2021-07-09,MIA,ATL,"L,0-5",3,1.0,2,1,1,0,0,0,0,5.87,5,9,8,1,1,2,3,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.08,-0.007,0.00%,-0.50
2021-07-10,MIA,ATL,"L,4-5",0,0.1,1,0,0,1,0,0,0,5.81,3,12,5,1,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.86,-0.026,-0.01%,-0.41
2021-07-16,MIA,PHI,"L,2-5",5,1.0,1,0,0,1,1,0,1,5.63,6,19,10,3,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,0.007,0.00%,0.51
2021-07-18,MIA,PHI,"L,4-7",1,1.0,2,1,1,0,0,0,0,5.73,5,13,10,2,1,3,2,1,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,.31,-0.027,-0.01%,-0.49
2021-07-22,MIA,SDP,"L,2-3",3,1.0,0,0,0,1,1,0,0,5.56,4,17,8,1,4,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.44,0.026,0.00%,0.50
2021-07-23,MIA,SDP,"L,2-5",0,0.2,0,0,0,0,0,0,0,5.45,3,16,10,1,1,3,0,0,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.78,-0.081,-0.01%,-0.59
2021-07-25,MIA,SDP,"W,9-3",1,1.0,2,1,0,1,0,0,0,5.30,6,14,8,1,0,4,1,1,0,0,,0,0,0,0,0,5,1,0,1,0,0,1,1.12,-0.059,0.00%,-0.50
2021-07-28,MIA,BAL,"L,7-8",2,1.0,2,0,0,0,1,0,0,5.15,4,18,10,0,2,1,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.33,0.070,0.01%,0.54
2021-07-30,MIA,NYY,"L,1-3",1,0.2,2,0,0,0,0,0,0,5.06,3,8,6,1,0,2,1,1,0,0,,2,2,0,0,0,3,0,0,0,1,0,0,1.59,-0.133,-0.01%,-1.09
2021-07-31,MIA,NYY,"L,2-4",0,1.0,0,0,0,0,1,0,0,4.93,3,13,7,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.72,0.055,0.00%,0.50
