last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Cabrera, Miguel,408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,.256,.386,.316,.701,75,0,130,5,48,0,0,,.231,.415,.305,.312,.298,.184,91.4,10,32.8,8.3,49,25.9,21.5,3.6,23.9,
Cruz Jr., Nelson,443558,2021,41,513,584,136,82,21,1,32,126,51,21.6,8.7,.265,.497,.332,.829,86,3,140,7,79,3,0,,.264,.504,.346,.360,.340,.240,92.9,11.8,31.8,13.6,43.4,25.5,22,9.1,26.0,
Peralta, David,444482,2021,34,487,538,126,80,30,8,8,92,46,17.1,8.6,.259,.402,.325,.728,63,2,150,3,57,2,0,,.241,.343,.314,.292,.311,.102,89.3,5.3,27.2,5,54.9,15.6,23.2,6.3,27.6,
Blackmon, Charlie,453568,2021,35,514,582,139,97,25,4,13,91,54,15.6,9.3,.270,.411,.351,.761,78,3,150,11,76,3,0,,.290,.446,.333,.357,.368,.157,87.6,10.2,32.6,7,47.4,22.3,24.4,5.9,27.7,
McCutchen, Andrew,457705,2021,35,482,574,107,55,24,1,27,132,81,23.0,14.1,.222,.444,.334,.778,80,6,144,4,78,5,0,,.239,.429,.335,.343,.351,.191,88.8,14.6,33.6,9,40.9,30.5,21.6,7,28.7,
Turner, Justin,457759,2021,37,533,612,148,99,22,0,27,98,61,16.0,10.0,.278,.471,.361,.832,87,3,151,12,87,2,1,,.270,.469,.358,.359,.357,.199,90.9,19.2,36.5,7.9,35.4,33.1,24.5,7,25.5,
Votto, Joey,458015,2021,38,448,533,119,59,23,1,36,127,77,23.8,14.4,.266,.563,.375,.938,99,1,129,4,73,0,1,,.274,.591,.391,.405,.383,.317,92.9,18.2,44.3,17.2,33.2,36.9,25.2,4.6,25.1,
Andrus, Elvis,462101,2021,33,497,541,121,91,25,2,3,81,31,15.0,5.7,.243,.320,.292,.612,37,13,146,6,60,10,3,,.272,.373,.270,.307,.323,.101,87.8,8.1,34,2.1,47,17.5,28.4,7.1,26.7,
Santana, Carlos,467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,.214,.342,.319,.660,69,2,158,3,66,2,0,,.243,.418,.294,.334,.344,.175,89.9,12.9,28,6.8,45.3,26.5,19.2,8.8,24.9,
Lowrie, Jed,476704,2021,37,457,512,112,70,28,0,14,108,49,21.1,9.6,.245,.398,.318,.717,69,0,139,2,55,0,0,,.259,.464,.311,.343,.332,.206,90.7,16.4,36.5,9.3,36.8,32.6,24.9,5.7,25.2,
Brantley Jr., Michael,488726,2021,34,469,508,146,106,29,3,8,53,33,10.4,6.5,.311,.437,.362,.799,47,1,121,5,68,1,0,,.312,.466,.347,.361,.365,.154,89.5,9.9,38.8,5.8,46.8,20.6,28.8,3.8,25.7,
Gurriel, Yuli,493329,2021,37,530,605,169,123,31,0,15,68,59,11.2,9.8,.319,.462,.383,.846,81,1,143,4,83,1,0,,.271,.386,.363,.326,.347,.115,89.8,13.4,31,3.4,41.6,24.3,25.5,8.6,27.0,
Rojas, Miguel,500743,2021,32,495,539,131,89,30,3,9,74,37,13.7,6.9,.265,.392,.321,.713,48,13,132,5,66,10,3,,.248,.344,.311,.291,.307,.096,86.2,11.5,32.4,2.8,45.6,22,24.3,8,26.6,
Escobar, Eduardo,500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8.0,.253,.472,.314,.786,90,1,146,1,77,1,0,,.247,.447,.334,.325,.309,.199,87,20.8,38,8.9,33.3,33.3,23,10.3,27.4,
Pham, Tommy,502054,2021,33,475,561,109,68,24,2,15,128,78,22.8,13.9,.229,.383,.340,.724,49,14,155,4,74,13,0,,.257,.442,.318,.353,.366,.184,90.8,7.6,35.6,10,49.6,21.4,24.8,4.3,27.8,
Martinez, J.D.,502110,2021,34,570,634,163,90,42,3,28,150,55,23.7,8.7,.286,.518,.349,.866,99,0,148,3,92,0,0,,.288,.533,.364,.374,.352,.245,92.1,16.9,41.2,12.5,34.1,31.5,28.9,5.4,26.1,
Goldschmidt, Paul,502671,2021,34,603,679,177,108,36,2,31,136,67,20.0,9.9,.294,.514,.365,.879,99,12,158,4,102,10,2,,.292,.572,.373,.395,.365,.280,92.6,17.1,36.9,13.6,37.3,31.1,24.6,7,26.2,
Altuve, Jose,514888,2021,31,601,678,167,103,32,1,31,91,66,13.4,9.7,.278,.489,.350,.839,83,5,146,4,117,3,2,,.261,.419,.357,.331,.337,.158,87.6,15.7,31.9,6.4,41,24.6,23.6,10.8,28.0,
Hernandez, Cesar,514917,2021,31,570,637,132,88,21,2,21,135,59,21.2,9.3,.232,.386,.308,.694,62,1,149,5,84,1,0,,.241,.384,.302,.309,.317,.143,87.4,10.7,32.6,6.8,47.3,25.1,23.7,3.9,28.7,
Segura, Jean,516416,2021,31,514,567,149,105,27,3,14,78,39,13.8,6.9,.290,.436,.347,.783,58,9,131,9,76,8,1,,.265,.394,.338,.318,.327,.129,87.2,5.8,31.1,5.9,52.4,19,22.7,5.9,27.3,
Marte, Starling,516782,2021,33,467,526,145,103,27,3,12,99,43,18.8,8.2,.310,.458,.382,.840,55,47,120,13,89,42,5,,.277,.438,.364,.347,.354,.161,87.6,4.6,32.6,8.4,56.3,16.7,22.9,4,28.4,
Donaldson, Josh,518626,2021,36,457,543,113,61,26,0,26,114,74,21.0,13.6,.247,.475,.352,.827,72,0,135,4,73,0,0,,.268,.537,.353,.386,.371,.270,94.1,14.6,30.2,17.4,43.9,28.5,20.5,7.1,24.5,
Freeman, Freddie,518692,2021,32,600,695,180,122,25,2,31,107,85,15.4,12.2,.300,.503,.393,.896,83,8,159,8,120,7,0,,.319,.581,.379,.415,.409,.262,91.4,12,37.2,11.5,43.2,28.9,25.1,2.8,27.0,
LeMahieu, DJ,518934,2021,33,597,679,160,125,24,1,10,94,73,13.8,10.8,.268,.362,.349,.711,57,4,150,4,84,3,1,,.282,.395,.315,.338,.364,.113,90.6,5,33.3,3.7,52,18.3,26.8,3,26.5,
Rizzo, Anthony,519203,2021,32,496,576,123,75,23,3,22,87,52,15.1,9.0,.248,.440,.344,.783,61,6,141,23,73,6,0,,.260,.433,.339,.346,.355,.173,90.1,14.8,31.4,7.7,41.3,27.1,23.9,7.7,25.2,
Stanton, Giancarlo,519317,2021,32,510,579,139,85,19,0,35,157,63,27.1,10.9,.273,.516,.354,.870,97,0,139,3,64,0,0,,.259,.485,.370,.357,.343,.227,95.1,10.3,32.6,15.7,45.5,23,24.2,7.3,24.7,
Perez, Salvador,521692,2021,31,620,665,169,97,24,0,48,170,28,25.6,4.2,.273,.544,.316,.859,121,1,161,13,88,1,0,,.275,.562,.359,.372,.321,.287,93,15.9,34.1,16.3,37.4,33,23.6,5.9,26.1,
Garcia, Avisail,541645,2021,30,461,515,121,74,18,0,29,121,38,23.5,7.4,.262,.490,.330,.820,86,8,135,11,68,8,0,,.278,.514,.346,.367,.346,.235,90.4,9.3,35.9,12.2,48.4,26.1,22,3.5,28.7,
Villar, Jonathan,542340,2021,30,454,505,113,75,18,2,18,132,46,26.1,9.1,.249,.416,.321,.737,42,14,142,3,63,12,2,,.234,.387,.320,.306,.309,.152,88,7,29.9,7.4,49.1,23.5,21.9,5.6,27.3,
Aguilar, Jesus,542583,2021,31,449,510,117,72,23,0,22,93,46,18.2,9.0,.261,.459,.325,.784,93,0,131,3,49,0,0,,.259,.448,.334,.332,.329,.189,89.6,19,34.7,8.5,33.3,31.7,26.7,8.3,24.3,
Crawford, Brandon,543063,2021,34,483,549,144,87,30,3,24,105,56,19.1,10.2,.298,.522,.373,.895,90,11,138,5,79,7,4,,.259,.490,.377,.355,.341,.232,88.8,14.7,35.8,11.5,40.5,28.7,23,7.8,25.8,
Cron, C.J.,543068,2021,31,470,547,132,72,31,1,28,117,60,21.4,11.0,.281,.530,.375,.905,92,1,142,13,70,1,0,,.260,.475,.383,.362,.359,.215,88.8,15.8,32.2,11.5,38.7,32.5,21.3,7.6,25.9,
Grossman, Robbie,543257,2021,32,557,671,133,84,23,3,23,155,98,23.1,14.6,.239,.415,.356,.771,67,20,156,8,88,19,1,,.234,.399,.337,.334,.355,.165,87.8,21.1,39.5,7.6,30,35.9,26.8,7.3,27.8,
Harrison, Josh,543281,2021,34,505,558,141,98,33,2,8,75,31,13.4,5.6,.279,.400,.341,.741,60,9,138,18,58,8,1,,.278,.420,.325,.333,.340,.142,87.2,14.5,39.5,4.4,40.2,27.3,27.3,5.3,26.7,
Hosmer, Eric,543333,2021,32,509,565,137,97,28,0,12,99,48,17.5,8.5,.269,.395,.336,.731,65,5,151,5,53,5,0,,.267,.403,.319,.324,.335,.136,90.5,3.3,26.6,5.8,56.2,14.8,23.2,5.8,26.0,
Semien, Marcus,543760,2021,31,652,724,173,87,39,2,45,146,66,20.2,9.1,.265,.538,.334,.873,102,16,162,3,115,14,2,,.243,.452,.368,.331,.315,.208,89.7,20.3,35.2,9.8,31,36.7,23.2,9,28.6,
Grichuk, Randal,545341,2021,30,511,545,123,75,25,1,22,114,27,20.9,5.0,.241,.423,.281,.703,81,0,149,3,59,0,0,,.232,.397,.300,.294,.276,.164,89.8,16.1,30.4,8.5,39.7,29.4,20,11,28.1,
Harper, Bryce,547180,2021,29,488,599,151,73,42,1,35,134,100,22.4,16.7,.309,.615,.427,1.042,84,13,141,5,101,7,5,,.301,.607,.431,.429,.423,.306,92.5,13.3,38.9,18.1,41.9,26.4,27.2,4.4,27.8,
Abreu, Jose,547989,2021,34,566,659,148,86,30,2,30,143,61,21.7,9.3,.261,.481,.351,.831,117,1,152,22,86,1,0,,.251,.455,.354,.348,.346,.204,92,10.4,31.2,10.2,47.3,25.6,21.7,5.3,26.5,
Suarez, Eugenio,553993,2021,30,505,574,100,46,23,0,31,171,56,29.8,9.8,.198,.428,.286,.713,79,0,145,8,71,0,0,,.215,.454,.306,.325,.302,.239,89.1,18.3,33,15,36.3,35.7,20.4,7.7,26.7,
