last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Beltran, Carlos,136860,2017,40,467,509,108,65,29,0,14,102,33,20.0,6.5,.231,.383,.283,.666,51,0,129,3,60,0,0,,.229,.368,.283,.283,.284,.139,87.3,13.4,29.4,4.6,43.9,24.3,22.9,8.9,25.3,
Pujols, Albert,405395,2017,37,593,636,143,103,17,0,23,93,37,14.6,5.8,.241,.386,.286,.672,101,3,149,2,53,2,1,,.260,.439,.286,.314,.304,.179,88.7,13.4,31.7,5.4,43.5,23.4,25,8.1,21.8,
Mauer, Joe,408045,2017,34,525,597,160,116,36,1,7,83,66,13.9,11.1,.305,.417,.384,.801,71,2,141,3,69,2,0,,.308,.468,.349,.368,.386,.161,90.6,6.2,35.7,4.5,52.1,14.8,31,2,26.1,
Cabrera, Miguel,408234,2017,34,469,529,117,79,22,0,16,110,54,20.8,10.2,.249,.399,.329,.728,60,0,130,3,50,0,0,,.279,.515,.313,.367,.356,.237,91.1,12.4,41.4,10.5,40.6,23.5,32.3,3.6,24.8,
Phillips, Brandon,408252,2017,36,572,604,163,115,34,1,13,73,21,12.1,3.5,.285,.416,.318,.734,60,11,144,8,81,7,4,,.268,.375,.316,.296,.304,.107,84.6,8.2,31.1,2.4,50.2,16.3,26.7,6.8,25.9,
Reyes, Jose,408314,2017,34,501,561,123,76,25,7,15,79,50,14.1,8.9,.246,.413,.312,.725,58,24,145,2,75,19,5,,.241,.348,.312,.291,.311,.107,84.3,15.8,32.8,2.6,38.8,22.8,25.8,12.6,27.4,
Choo, Shin-Soo,425783,2017,35,544,636,142,99,20,1,22,134,77,21.1,12.1,.261,.423,.355,.778,78,12,149,7,96,11,1,,.269,.475,.339,.366,.367,.206,88.7,7.9,36.1,8.6,50.7,19.4,27.5,2.4,26.2,
Molina, Yadier,425877,2017,35,501,543,137,91,27,1,18,74,28,13.6,5.2,.273,.439,.311,.750,82,9,136,4,60,5,4,,.269,.455,.316,.326,.312,.186,87.9,14.5,35.2,5.9,42.3,23.6,26.3,7.8,23.7,
Cano, Robinson,429664,2017,35,592,648,166,110,33,0,23,85,49,13.1,7.6,.280,.453,.338,.791,97,1,150,4,79,1,0,,.294,.484,.334,.354,.351,.191,90.3,7.4,33.7,6.3,50.2,19,26.5,4.3,24.1,
Encarnacion, Edwin,429665,2017,34,554,669,143,84,20,1,38,133,104,19.9,15.5,.258,.504,.377,.880,107,2,157,5,96,2,0,,.266,.528,.373,.388,.386,.262,89.2,16.8,36.4,10.3,38,29.6,24.4,8,24.4,
