last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_era,p_opp_batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,
Sabathia, CC,282332,2019,39,23,107.1,468,422,112,62,23,0,27,107,39,22.9,8.3,.265,.512,.329,.841,59,64,0,0,5,8,4.95,.265,.243,.423,.351,.316,.311,.180,87,14.9,36.5,8.2,1729,1.3,88.8,2098,30.2,79.2,2208,12.2,82.7,1885,,,,14.3,89.1,2051,42,88.3,2194,,,,,,,
Rodney, Fernando,407845,2019,42,55,47.2,210,182,49,36,8,0,5,49,28,23.3,13.3,.269,.396,.367,.762,30,31,2,4,0,5,5.66,.269,.230,.371,.332,.310,.333,.141,87.6,9.2,30.8,7.5,851,20.6,94.4,2192,3.3,86.3,2254,28.8,83,1752,,,,47.4,93.6,2039,,,,,,,,,,
Perez, Oliver,424144,2019,38,67,40.2,173,157,38,19,14,0,5,48,12,27.7,6.9,.242,.427,.306,.733,18,20,1,4,2,4,3.98,.242,.215,.342,.306,.269,.282,.127,86.9,10.7,34.5,4.5,652,14.7,91.5,2192,49.2,78.5,2279,,,,,,,36,91.8,2161,,,,,,,,,,
Wainwright, Adam,425794,2019,38,31,171.2,745,662,181,118,38,3,22,153,64,20.5,8.6,.273,.440,.340,.779,80,83,0,0,14,10,4.19,.273,.258,.418,.330,.321,.330,.161,88.9,10.2,32.1,6.5,2784,13.6,89.6,2191,,,,2,83.9,1769,36.8,74.9,2752,25.1,90,2171,22.4,84.9,2341,,,,,,,
Greinke, Zack,425844,2019,36,33,208.2,810,767,175,115,37,2,21,187,30,23.1,3.7,.228,.364,.258,.622,68,73,0,0,18,5,2.93,.228,.238,.389,.263,.281,.270,.151,87.5,11,34.1,6.3,3085,41.2,89.9,2326,16.2,83.7,2517,22.1,87.4,1780,14.8,70.6,2446,5.3,90.4,2253,0.1,89.4,2409,0.2,80.1,1703,,,,
Jackson, Edwin,429719,2019,36,18,67.2,336,299,105,54,25,3,23,52,32,15.5,9.5,.351,.686,.417,1.102,72,81,0,0,3,10,9.58,.351,.306,.587,.449,.404,.379,.280,91.1,11.9,40.2,12,1315,23.3,93.5,2270,25.2,85.7,2299,7.5,87,2221,2.7,77.9,2518,13.9,93.7,2112,27.4,91.6,2339,,,,,,,
Santana, Ervin,429722,2019,37,3,13.1,64,56,19,5,7,1,6,5,6,7.8,9.4,.339,.821,.391,1.212,14,14,0,0,0,2,9.45,.339,.319,.745,.471,.466,.385,.426,89.2,19,34,20.8,250,41.2,90,2070,42.4,82.2,2307,6,83.4,1518,,,,10.4,90.1,2024,,,,,,,,,,
Hamels, Cole,430935,2019,36,27,141.2,617,542,141,96,28,0,17,143,56,23.2,9.1,.260,.406,.331,.737,60,64,0,0,7,7,3.81,.260,.246,.415,.317,.321,.324,.169,90.3,11.3,31.1,7.6,2394,35.5,91.4,2059,,,,21.3,83.3,1713,12.5,78,2040,12.1,91.1,2034,18.6,87.6,1994,,,,,,,
Hernandez, Felix,433587,2019,33,15,71.2,325,292,85,44,23,1,17,57,25,17.5,7.7,.291,.551,.357,.908,51,58,0,0,1,8,6.40,.291,.279,.522,.378,.367,.348,.243,91.9,11,31.2,10.1,1216,7.5,89.9,2151,9,83.8,2317,16.2,84.7,1734,35.2,79.3,2441,32.2,89.4,2060,,,,,,,,,,
Petit, Yusmeiro,433589,2019,35,80,83.0,308,294,57,33,10,3,11,71,10,23.1,3.2,.194,.361,.218,.578,25,25,0,2,5,3,2.71,.194,.210,.393,.240,.267,.236,.184,87.8,21.4,31.7,7.5,1137,45.3,89.1,2232,,,,19.3,81.5,1887,14.2,76.4,2125,,,,21.2,85.4,2224,,,,,,,
Verlander, Justin,434378,2019,36,34,223.0,847,796,137,66,28,7,36,300,42,35.4,5.0,.172,.361,.218,.579,64,66,0,0,21,6,2.58,.172,.180,.336,.243,.241,.226,.156,87.3,18.4,30.3,7.2,3242,49.9,94.6,2577,28.7,87.5,2612,4.2,86.9,1866,17.3,79.4,2821,,,,,,,,,,,,,
Liriano, Francisco,434538,2019,36,69,70.0,301,259,60,37,15,0,8,63,35,20.9,11.6,.232,.382,.326,.708,27,32,0,4,5,3,3.47,.232,.222,.369,.309,.306,.324,.147,85.8,9.5,28.5,5,1133,8.5,92.8,2069,30.4,87,2289,26,87,1683,,,,35.1,93,2047,,,,,,,,,,
Sanchez, Anibal,434671,2019,35,30,166.0,712,647,153,90,38,3,22,134,58,18.8,8.1,.236,.406,.302,.708,71,77,0,0,11,8,3.85,.236,.249,.418,.296,.310,.314,.169,87,14.7,37.8,6.6,2689,30.1,90.2,2238,2.8,83.2,2306,4.5,70.7,1421,6,76.9,2113,9.7,90.4,2134,23.5,87.6,2316,23.5,84.3,1717,,,,
Duke, Zach,435043,2019,36,30,23.1,106,84,21,12,5,0,4,18,18,17.0,17.0,.250,.452,.387,.839,13,13,0,0,3,1,5.01,.250,.252,.391,.360,.349,.394,.139,88.9,7.4,32.4,4.4,389,6.7,87.7,2158,31.6,80.4,2495,,,,12.1,74.1,2348,49.6,89,1993,,,,,,,,,,
Rondon, Hector,444468,2019,31,62,60.2,257,231,56,31,14,1,10,48,20,18.7,7.8,.242,.442,.311,.753,25,25,0,3,3,2,3.71,.242,.231,.402,.319,.307,.303,.171,87.2,8.2,27.6,7,972,45.6,96.7,2085,35.5,86.8,2348,4.4,90.6,1814,,,,14.5,96.6,2036,,,,,,,,,,
Dunn, Mike,445197,2019,34,28,17.2,75,65,17,9,3,1,4,15,6,20.0,8.0,.262,.523,.307,.830,14,14,0,1,1,0,7.13,.262,.224,.417,.332,.300,.283,.193,88,18.1,31.5,9.3,301,43.9,91.4,2327,44.9,85.2,2415,,,,8.3,74.8,2222,3,91.5,2205,,,,,,,,,,
Kintzler, Brandon,445213,2019,35,62,57.0,227,209,45,28,9,3,5,48,13,21.1,5.7,.215,.359,.273,.632,17,18,1,2,3,3,2.68,.215,.233,.388,.265,.290,.291,.155,89.4,8.4,27.8,6.8,855,3.7,93.1,2021,10.2,86.7,2297,17.5,87.5,2130,,,,68.5,92.6,2018,,,,,,,,,,
Jansen, Kenley,445276,2019,32,62,63.0,263,240,51,29,12,1,9,80,16,30.4,6.1,.213,.383,.270,.653,26,28,33,8,5,3,3.71,.213,.201,.334,.277,.258,.259,.133,86.3,19.4,33.1,6.1,1049,,,,12.3,81.8,2387,,,,,,,13.4,93.2,2333,74.3,91.7,2556,,,,,,,
Chavez, Jesse,445926,2019,36,48,78.0,337,307,82,48,20,2,12,72,22,21.4,6.5,.267,.463,.323,.786,42,48,1,1,3,5,4.85,.267,.269,.471,.331,.339,.328,.202,88.1,13.2,34.5,8.8,1306,8.2,91.4,2312,13.3,86.4,2333,9.6,85.2,2063,0.3,83.5,2429,37.6,91.1,2124,31,88.2,2311,,,,,,,
Detwiler, Ross,446321,2019,33,18,69.2,315,282,86,52,13,1,20,46,27,14.6,8.6,.305,.571,.368,.939,51,54,0,0,3,5,6.59,.305,.291,.544,.387,.377,.359,.252,90.4,10.4,30.1,9.6,1157,32.6,91.6,2214,1.9,83.8,2177,16.4,84.9,1644,14,78.1,2145,19.8,90.7,2098,15.3,88.6,2257,,,,,,,
Kluber, Corey,446372,2019,33,7,35.2,168,148,44,29,11,0,4,38,15,22.6,8.9,.297,.453,.369,.822,23,26,0,0,2,3,5.80,.297,.254,.449,.353,.335,.333,.196,86.9,13.6,34.8,8.9,611,12.9,92,2332,,,,8.5,84.9,1804,22.9,82.9,2538,26.7,91.3,2210,29,88.1,2503,,,,,,,
Hill, Rich,448179,2019,39,13,58.2,242,215,48,31,7,0,10,72,18,29.8,7.4,.223,.395,.289,.685,16,20,0,0,4,1,2.45,.223,.197,.320,.291,.260,.273,.123,86.8,10.6,28.4,4.7,949,52.8,90.3,2474,3.2,73.1,2828,0.8,82.1,1681,42.1,74.5,2919,0.7,88.1,2412,0.3,84.8,2646,,,,,,,
Doolittle, Sean,448281,2019,33,63,60.0,260,242,63,39,10,3,11,66,15,25.4,5.8,.260,.463,.308,.771,27,27,29,6,6,5,4.05,.260,.230,.443,.321,.304,.281,.213,90.9,25.1,34.5,8.5,1074,88.2,93.5,2215,5.8,80.9,2424,,,,,,,,,,,,,6.1,83.7,2136,,,,
Sipp, Tony,448609,2019,36,36,21.0,92,79,19,14,4,0,1,18,9,19.6,9.8,.241,.329,.315,.644,11,12,0,1,1,2,4.71,.241,.251,.406,.282,.340,.343,.154,88.1,17.2,37.5,6.3,363,47.9,90.4,2065,32,83.2,2007,,,,,,,,,,,,,20.1,78,969,,,,
Guerra, Junior,448855,2019,34,72,83.2,344,299,58,34,12,1,11,77,36,22.4,10.5,.194,.351,.285,.636,33,35,3,8,9,5,3.55,.194,.213,.371,.275,.293,.304,.158,86.9,14.3,29.5,6.2,1351,30.9,94.6,2459,,,,,,,18.8,82.1,2651,29.2,94.8,2356,,,,21,86,1235,,,,
Volquez, Edinson,450172,2019,36,11,16.0,75,63,20,14,3,0,3,10,12,13.3,16.0,.317,.508,.427,.935,12,12,0,0,0,1,6.75,.317,.310,.490,.399,.393,.420,.180,90.6,12.3,32.1,5.7,297,0.3,93.9,2280,,,,36.7,83.1,1237,15.5,80.8,2726,47.5,93.4,2291,,,,,,,,,,
Morton, Charlie,450203,2019,36,33,194.2,790,717,154,100,33,6,15,240,57,30.4,7.2,.215,.340,.282,.623,66,71,0,0,16,6,3.05,.215,.216,.337,.270,.274,.285,.120,86.9,9.2,34.3,5,3138,29.8,94.7,2259,,,,,,,37.3,78.6,2886,19.2,93.9,2102,10.4,85.4,2436,3.3,84.9,2124,,,,
Neshek, Pat,450212,2019,39,20,18.0,79,76,23,16,1,1,5,9,2,11.4,2.5,.303,.539,.316,.856,10,11,3,0,0,1,5.00,.303,.287,.540,.347,.344,.292,.253,87.8,15.6,30.9,8.8,280,,,,62.1,81.6,2234,0.4,63.4,1376,,,,37.1,88.5,2099,0.4,87.9,2022,,,,,,,
Vargas, Jason,450306,2019,36,30,149.2,649,566,141,85,34,1,21,124,63,19.1,9.7,.249,.424,.324,.748,75,84,0,0,7,9,4.51,.249,.241,.440,.318,.324,.321,.198,87.6,16.7,33.3,7.9,2505,27.6,84.2,2234,,,,35.1,78.7,2208,15.2,70.6,2433,22.2,84.2,2203,,,,,,,,,,
Davis, Wade,451584,2019,34,50,42.2,206,175,51,34,9,1,7,42,29,20.4,14.1,.291,.474,.398,.872,41,42,15,3,1,6,8.65,.291,.272,.458,.374,.364,.381,.186,89.4,14.9,39.8,7.5,839,44.6,93.2,2415,,,,1.4,90.6,2357,18.8,82.8,2582,0.4,92.9,2382,34.8,88.9,2722,,,,,,,
Lester, Jon,452657,2019,35,31,171.2,764,698,205,139,35,5,26,165,52,21.6,6.8,.294,.470,.343,.813,85,101,0,0,13,10,4.46,.294,.273,.454,.344,.335,.328,.181,88.6,12.2,37.1,7.4,3041,28.3,90.6,2251,,,,11.9,84.3,1939,15.4,74.5,2606,10.2,89.5,2143,34.2,87.9,2391,,,,,,,
Hughes, Jared,453172,2019,34,72,71.1,289,255,57,32,12,0,13,54,27,18.7,9.3,.224,.424,.298,.721,32,37,1,3,5,5,4.04,.224,.237,.392,.306,.308,.316,.155,89.7,1.3,25.2,6.8,1103,5.9,92.8,2141,5.7,84.3,2107,8.2,84.6,1551,5.7,80,2053,74.5,91.1,1869,,,,,,,,,,
Kennedy, Ian,453178,2019,35,63,63.1,266,245,64,51,7,0,6,73,17,27.4,6.4,.261,.363,.308,.672,24,24,30,4,3,2,3.41,.261,.217,.364,.291,.272,.270,.147,88.6,14.7,29.7,6.3,1095,66.9,94.4,2439,,,,1.7,87.9,2027,15.3,80.5,2687,,,,16.1,91.3,2209,,,,,,,
Miller, Andrew,453192,2019,34,73,54.2,236,200,45,32,2,0,11,70,27,29.7,11.4,.225,.400,.339,.739,27,32,6,5,5,6,4.45,.225,.208,.372,.320,.308,.326,.164,88.5,17,37.4,8.4,948,38.2,92.4,2086,61.2,82.4,2599,0.1,84.2,2732,,,,0.5,94.3,1994,,,,,,,,,,
Watson, Tony,453265,2019,34,60,54.0,231,212,56,39,6,2,9,41,12,17.7,5.2,.264,.439,.316,.755,25,26,0,3,2,2,4.17,.264,.263,.447,.320,.325,.318,.184,87.4,11.1,34.7,6.4,813,0.5,94.3,2347,10.6,85.6,2367,38.1,86.1,2380,,,,50.8,93,2328,,,,,,,,,,
LeBlanc, Wade,453281,2019,35,26,121.1,532,498,145,82,33,2,28,92,31,17.3,5.8,.291,.534,.333,.867,77,80,0,0,6,7,5.71,.291,.279,.490,.359,.343,.323,.211,89.4,13.9,38.5,7.8,1955,5.7,86.3,1935,,,,31.1,78.6,1544,10.9,72.5,2272,22.1,86.1,1888,30.2,84.1,2005,,,,,,,
Parker, Blake,453284,2019,34,60,61.1,255,226,53,33,7,0,13,65,22,25.5,8.6,.235,.438,.306,.744,31,32,10,1,3,3,4.55,.235,.269,.477,.315,.349,.341,.208,88.9,14.6,41.2,9.1,999,46.7,91.3,2142,,,,,,,15.4,76,2185,,,,6.1,88,2184,31.7,80,1039,,,,
Scherzer, Max,453286,2019,35,27,172.1,693,650,144,83,43,0,18,243,33,35.1,4.8,.222,.371,.266,.636,56,59,0,0,11,7,2.92,.222,.203,.336,.269,.253,.250,.133,87.6,13.5,35.2,6.6,2769,48.4,94.9,2474,20.7,85.6,2365,14.5,84.3,1551,8.7,78.5,2719,,,,7.7,89.8,2441,,,,,,,
Buchholz, Clay,453329,2019,35,12,59.0,254,235,72,37,22,0,13,39,16,15.4,6.3,.306,.566,.350,.916,43,44,0,0,2,5,6.56,.306,.294,.554,.378,.376,.342,.260,86.8,10.7,35.5,13.2,963,14.4,89.7,2148,,,,19.7,76.6,1538,17.4,75.1,2707,20.1,89.2,2120,28.2,84.4,2273,,,,,,,
Melancon, Mark,453343,2019,34,66,67.1,284,263,71,57,9,1,4,68,18,23.9,6.3,.270,.357,.320,.678,27,28,12,0,5,2,3.61,.270,.244,.339,.292,.277,.296,.095,88.6,3,28.1,2,1068,6.7,92.2,2341,,,,,,,31,82.1,2702,,,,59.6,91.8,2349,2.6,83.4,1801,,,,
Richard, Clayton,453385,2019,36,10,45.1,201,178,53,32,11,1,9,22,18,10.9,9.0,.298,.522,.373,.896,30,33,0,0,1,5,5.96,.298,.293,.498,.376,.378,.372,.205,92.1,5.1,29.9,9.6,728,15.4,91.1,2284,26,79.6,2219,1.8,82.1,1581,,,,56.9,90.2,2185,,,,,,,,,,
Arrieta, Jake,453562,2019,33,24,135.2,594,527,149,105,22,1,21,110,51,18.5,8.6,.283,.448,.348,.796,70,76,0,0,8,8,4.64,.283,.266,.447,.339,.337,.338,.181,89.3,6.8,33.8,6.8,2192,1,91.9,2275,12,89.7,2363,18.2,87.5,1730,13.4,80.6,2766,55.5,92.5,2196,,,,,,,,,,
Martin, Chris,455119,2019,33,58,55.2,216,209,52,36,7,0,9,65,5,30.1,2.3,.249,.411,.264,.675,21,23,4,2,1,3,3.40,.249,.242,.422,.281,.286,.259,.181,88.7,8.2,32.9,8.9,863,44.7,95.9,2297,9.7,86.1,2299,12.2,89,1663,,,,18.8,95.2,2271,14.6,91.6,2256,,,,,,,
Price, David,456034,2019,34,22,107.1,458,422,109,64,28,2,15,128,32,27.9,7.0,.258,.441,.314,.755,51,57,0,0,7,5,4.28,.258,.243,.425,.319,.311,.301,.182,88.4,12.6,36.9,8.1,1861,27.5,91.9,2209,,,,26.5,84.1,1800,2.5,80.4,2264,26.2,91.9,2188,17.3,88.5,2193,,,,,,,
Noesi, Hector,456051,2019,32,12,27.2,124,107,30,14,6,3,7,24,14,19.4,11.3,.280,.589,.363,.952,26,26,0,0,0,3,8.46,.280,.243,.471,.390,.342,.334,.228,90.3,21.1,35.3,8.2,497,,,,29.2,88.1,2202,9.7,86.2,1858,16.7,80.1,2586,44.5,93,2125,,,,,,,,,,
Cueto, Johnny,456501,2019,33,4,16.0,67,56,11,4,3,1,3,13,9,19.4,13.4,.196,.446,.299,.745,9,9,0,0,1,2,5.06,.196,.216,.436,.318,.328,.324,.221,86,6.3,24.4,8.9,265,32.5,91.3,2292,24.9,84.1,2344,18.9,83.4,1386,4.9,80.8,2417,18.9,91.1,2212,,,,,,,,,,
